PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or GAP,Arabic Gloss,Arabic Examples,Deleted lemmas,New lemmas,Phrase,Synset after cleaning_cleaned lemmas or GAP
337789,"falsely, incorrectly",in an incorrect manner,to credit Lister with the first formulation of the basic principle of stratigraphy would be to bestow credit falsely,"خَطَأً, [خِداعَا],[ زُورَاً],[ كَذِبَا]","على نحو خاطئ، أو مزور، أو غير صحيح",اتُهم بالسرقة خطأً . تم تشخيص المرض خطأً,"خِداعَا, زُورَاً, كَذِبَا",,,خَطَأً
358208,hereupon,immediately after this,"hereupon, the passengers stumbled aboard",GAP,"يتبع مباشرة بعد هذه المرحلة، أو كنتيجة مباشرة لموقف ما",بعد هذا الموقف استقال وانسحب من منصبه,,,بعد هذا,GAP
360138,horizontally,in a horizontal direction,a gallery quite often is added to make use of space vertically as well as horizontally,أفُقِيَّا,"بشكل موازٍ للأرض، أو موازٍ لأعلى أو أسفل شيء ما",نظرت إلى البحر أفقياً,,,,أفُقِيَّا
360312,vertically,in a vertical direction,a gallery quite often is added to make use of space vertically as well as horizontally,"[بِشَكْلٍ عَمُوْدِيّ], عَمُوْدِيَّاً",على مستوى رأسي بزاوية 90 من المستوى الأفقي,تسلق عمودياً إلى القمة,بِشَكْلٍ عَمُوْدِيّ,,, عَمُوْدِيَّاً
382423,interrogatively,in a questioning format,,بِفُضُول,"بطريقة تعبر عن الشك في صحة شيء، أو تظهر أنك تريد إجابة لسؤالك","رفعت حاجبيها بفضول. ماذا، متى، أين وكيف نستخدمها بشكل استجوابي أحياناً",,,بشكل استجوابي,بِفُضُول
394435,logarithmically,in a logarithmic manner,data plotted logarithmically with respect to time is shown in Figure 2,لوغرثميا,بطريقة خاصة باللوغاريتمات ( وهي عدد المرات التي يُضرب فيها الرقم بنفسه,مقياس طبقة الصوت مرتبط لوغاريتمياً بالتردد,,,,لوغرثميا
407179,musically,in a musical manner,She sang very musically,مُوسِيْقِيَّاً,على نحو له علاقة بالموسيقى,هذه المدرسة للأطفال الموهوبين موسيقياً,,,,مُوسِيْقِيَّاً
407778,"in return, reciprocally",(often followed by `for') in exchange or in reciprocation,gave up our seats on the plane and in return received several hundred dollars and seats on the next plane out; we get many benefits in return for our taxes,GAP,كشيء متبادل مع شيء آخر ,أحصل على راتب جيد في مقابل العمل,,,في مقابل,GAP
409125,"nationwide, across the nation, nationally, across the country",extending throughout an entire nation,nationally advertised; it was broadcast nationwide,"[قَوْمِيَّا], وَطَنِيَّا",على نحو يمتد خلال البلاد بكاملها,تمت إذاعة البرنامج وطنياً,قَوْمِيَّا,,, وَطَنِيَّا
413081,numerically,in number; with regard to numbers,"in ten years' time the Oxbridge mathematicians, scientists, and engineers will not be much more significant numerically than the Oxbridge medical schools are now",عَدَدِيَّا,بطريقة تتضمن الأرقام أو يعبر عنها بالأرقام,جيش متفوق عددياً. تم ترتيب الملفات عددياً,,,,عَدَدِيَّا
416660,obligatorily,in an obligatory manner,this rule applies obligatorily,"[بِشَكْلٍ إجْبَارِيّ],[ بِشَكْلٍ إلْزَامِيّ], (إلزامياً), (إجبارياً)",بطريقة تعني وجوب فعل الشيء لأنه قاعدة أو قانون,تُطبق القوانين هنا إلزامياً. يلتزم الطلاب بالحضور إجبارياً,"بِشَكْلٍ إجْبَارِيّ, بِشَكْلٍ إلْزَامِيّ","إلزامياً,إجبارياً",,"إلزامياً,إجبارياً"
416968,organizationally,with regard to organization,"organizationally, the conference was a disaster!","[بِشَكْلٍ  مُنَظَّم], <تَنْظِيْمِيَّاً>",بطريقة خاصة بالمؤسسة أو على نحو خاص بطريقة عمل أو ارتباط أجزاء مختلفة من شيء ما,"تنظيمياً، كان المؤتمر كارثة",بِشَكْلٍ  مُنَظَّم,تَنْظِيْمِيَّاً,,تَنْظِيْمِيَّاً
419209,parentally,in a parental manner,,أبَوِيَّا,بطريقة خاصة بالوالدين أو بكونك والداً,موافقة موقعة أبوياً للأطفال دون 18. ,,,,أبَوِيَّا
421786,perceptually,with regard to perception,this task is perceptually very difficult,"[حِسّي]، (حسياً) ,  إٍدْرَاكِياً, [بِشَكْلٍ إدْرَاكِيّ], [بِشَكْلٍ حِسِّيّ]",بطريقة تتعلق بالقدرة على ملاحظة شيء أو تشكيل نظرة عن شيء باستخدام الحواس,مهارات عالية حسياً. مهمة صعبة إدراكياً,"حِسّي,بِشَكْلٍ إدْرَاكِيّ,بِشَكْلٍ حِسِّيّ",حسياً,," إٍدْرَاكِياً,حسياً"
437981,purposefully,in a purposeful manner,"he caught the motorcycles in the full glare of his headlights, braked and slipped purposefully out of the car","قَصْدَاً, بِقَصْدَ","على نحو يظهر أنك تعلم ما تفعل، وأنك تفعله بنية وبسابق إصرار وتصميم",رفع صوته  قصداً ليُسمع الجميع. لم أجرح مشاعرها بقصد.,,,,"قَصْدَاً, بِقَصْدَ"
438569,qualitatively,in a qualitative manner,this discoloration qualitatively suggests that the substance is low in inorganic iron,"[بِشَكْلٍ نَوْعِيّ], نَوْعِيَّاً", بطريقة لها علاقة بخصائص شيء ما ونوعه سواء كانت جيدة أو سيئة,هناك جوانب مختلفة نوعياً في طريقة تفكير الآباء والأبناء,بِشَكْلٍ نَوْعِيّ,,, نَوْعِيَّاً
469534,straightway,in a direct course,plunged straightway to the rocks below,"حالا, مُبَاشَرَة",مباشرة ودون تأجيل, لبى النداء حالاً. أشرقت الشمس وتبعثرت الغيوم في السماء مباشرة.,,,,"حالا, مُبَاشَرَة"
470364,therewith,with that or this or it,"I have learned that whatever state I am, therewith to be content""- Phil.4:11",بِذَلِكَ,بهذا الذي ذُكر الآن,تعلمت أنني رغم ما أنا عليه فيجب بذلك أن أكون راضياً,,,,بِذَلِكَ
481406,tomorrow,"the next day, the day after, following the present day",,غَدَاً,"اليوم الذي يلي اليوم الحاضر، يوم الغد",اليوم هو السبت وغداً يوم الأحد.,,,,غَدَاً
504802,"specially, especially",in a special manner,a specially arranged dinner,[ بِشَكْل خَاص],"  يتم بطريقة معينة،",صُنع بطريقة خاصة. تعامل صديقاتها بطريقة خاصة, بِشَكْل خَاص,,بطريقة خاصة,GAP
508084,causally,in a causal fashion,causally efficacious powers,سَبَبِيَّا,على نحو يفيد بأن شيئاً ما يسبب شيئاً آخر.,إن عاصفة قوية واحدة غير مرتبطة سببياً بالاحتباس الحراري,,,,سَبَبِيَّا
508749,redly,displaying a red color,"the forge belched redly at the sky""-Adria Langley","[بِإحْمِرَار], مُحْمَرَّا",ظاهر في لون أو وهج أحمر , بدت السماء محمرة عند الغروب,بِإحْمِرَار,,, مُحْمَرَّا
514106,positively,so as to be positive; in a positive manner,she intended her remarks to be interpreted positively,"[بِالإِيجَاب], إِيْجَابِيَّاً,[ إِيْجَابَاً]","على نحو جيد أو إيجابي، أو لتأكيد شيء لم يكن متوقعاً",أتمنى تفسير كلامي إيجابياً.,"بِالإِيجَاب, إِيْجَابَاً",,, إِيْجَابِيَّاً
515224,adjectivally,as an adjective; in an adjectival manner,,"[نَعْتِيَّا], وصْفِيَّا","بكونه صفة، بطريقة تصف الشيء","في عبارة ""ملعقة المطبخ""، كلمة ""المطبخ"" تستخدم وصفياً",نَعْتِيَّا,,, وصْفِيَّا
,,,,,,,,,,
,,,,,,,,,,
