PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
1062062,free,unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion,free expansion; free oxygen; a free electron,حُرّ,غير مقيد أو غير مرتبط كيميائياً بجزيء أو غير ثابت وقادر على الحركة غير المقيدة نسبياً,شوارد حرة
1062553,bound,"held with another element, substance or material in chemical or physical union",,مُرْتَبِط,مقيد بعنصر أو مادة آخرى برباط كيميائي أو فيزيائي,تكون الذرات في الجزيء مرتبطة بروابط كيميائية 
1065188,free,able to act at will; not hampered; not under compulsion or restraint,free enterprise; a free port; a free country; I have an hour free; free will; free of racism; feel free to stay as long as you wish; a free choice,حُرّ,"يتصرف بمشيئته بلا قيود أو عوائق تمنعه، ليس عليه ضغط أو إلزام",أنت حر بالبقاء أو الذهاب. إرادة حرة. 
1069383,free,not held in servitude,after the Civil War he was a free man,طَلِيق,ليس سجيناً أو مستعبداً من أحد,أصبح السجين حراً طليقاً. 
1081990,frozen,turned into ice; affected by freezing or by long and severe cold,the frozen North; frozen pipes; children skating on a frozen brook, مُتَجَمِّد,ما تحول إلى جليد بفعل التبريد القاسي المطول,القطب المتجمد الشمالي. طعام متجمد في الثلاجة
1090234,empty,holding or containing nothing,an empty glass; an empty room; full of empty seats; empty hours,"خَاوٍ, فَارِغ",ما لا يحتوي على أي شيء,بيت خاوٍ لا يسكنه أحد. كأس فارغة من الماء
1092828,full-time,for the entire time appropriate to an activity,a full-time job, دَوَام كَامِل,الوقت الكامل المناسب لأداء نشاط أو وظيفة معينة,وظيفة صعبة بدوام كامل من الصباح إلى المساء
1093061,"part-time, parttime",involving less than the standard or customary time for an activity,part-time employees; a part-time job,دَوَام جُزْئي,وقت أقل من اللازم لأداء نشاط أو وظيفة معينة,الوظيفة بدوام جزئي تعتبر مريحة بالنسبة للأم العاملة
1105084,general,applying to all or most members of a category or group,the general public; general assistance; a general rule; in general terms; comprehensible to the general reader,عَام,ينطبق على كل الأعضاء الموجودة في الفئة أو المجموعة,قاعدة عامة. امتحان عام. 
1109313,nonspecific,not caused by a specific agent; used also of staining in making microscope slides,nonspecific enteritis,لَانَوْعِيّ,"لا يسببه عامل معين، ويستخدم في تلطيخ الشرائح المجهرية",ألم الصدر مرض لا نوعي
1109533,national,concerned with or applicable to or belonging to an entire nation or country,the national government; national elections; of national concern; the national highway system; national forests,"وَطَنِي, قَوْمِي",ما له علاقة أو يخص أو ينتمي إلى دولة أو أمة بكاملها,الحكومة الوطنية. الحزب القومي
1113070,nonproprietary,not protected by trademark or patent or copyright,nonproprietary products are in the public domain and anyone can produce or distribute them,غَيرُ مُسَجَّلِ المِلْكِيَّة,غير محمي بشكل رسمي بعلامة تجارية مسجلة أو بحقوق الملكية ,السلع غير مسجلة الملكية تكون في متناول العموم. 
1113625,proprietary,protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights,`Tylenol' is a proprietary drug of which `acetaminophen' is the generic form,مُسَجَّلُ المِلْكِيَّة,"محمي بشكل رسمي بحقوق الملكية القانونية أو علامة تجارية، ويتم إنتاجه وتوزيعه من خلال من يملك ترخيصاً استثنائياً",يجب أن يكون المنزل مسجل الملكية بشكل قانوي حتى لا يضيع حق صاحبه
1151786,happy,enjoying or showing or marked by joy or pleasure or good fortune,a happy smile; spent many happy days on the beach; a happy marriage,سَعِيد,يشعر أو يبدي البهجة والارتياح النفسي ويظهر عليه السرور والحظ الجيد,أنا سعيد اليوم لأني قضيته مع أصدقائي
1154418,hard,resisting weight or pressure,,"صَلْب, قَاسٍ",مقاوم للضغط والوزن وتغيير الشكل تحت الشروط الطبيعية,"الحجر، الخشب، الحديد مواد صلبة. احذر السقوط فالأرض قاسية جداً"
1156249,soft,yielding readily to pressure or weight,,"لَيِّن, رَخْو",مِطواع بسهولة للضغط والوزن وتغيير الشكل في الشروط الطبيعية,فرو لين. قماش رخو
1194226,heavy,unusually great in degree or quantity or number,heavy taxes; a heavy fine; heavy casualties; heavy losses; heavy rain; heavy traffic,"ثَقِيل, ضَخْم, شَدِيد",عظيم الحجم أو الكمية أو العدد بشكل غير اعتيادي, وزن ثقيل. خسائر ضخمة. مطر شديد.
1235508,horizontal,parallel to or in the plane of the horizon or a base line,a horizontal surface,أُفُقِي,موازٍ أو على مستوى خط الأفق,سطح أفقي
1236220,"vertical, perpendicular",at right angles to the plane of the horizon or a base line,a vertical camera angle; the monument consists of two vertical pillars supporting a horizontal slab; measure the perpendicular height,"عَمُودِي, رَأسِي",متعامد أو على زاوية قائمة مع السطح الأفقي, محور عمودي. أعمدة رأسية.
1250274,hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,hot stove; hot water; a hot August day; a hot stuffy room; she's hot and tired; a hot forehead,سَاخِن,ذو درجة حرارة مرتفعة عن الطبيعي أو المعتاد أو المرغوب لكونه تعرض لحرارة أو احتراق,"المياه ساخنة، سأتركها تبرد. الطفل مريض وجبينه ساخن"
1254201,cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigerationل ,"a cold climate; a cold room; dinner has gotten cold; cold fingers; if you are cold, turn up the heat; a cold beer",بَارِد,ذو درجة حرارة أقل من الطبيعي أو المعتاد أو المرغوب به بفعل تعرضه لتبريد أو ثلج,لا يمكنني السباحة في المياه الباردة
1259404,hot,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,a hot temper; a hot topic; a hot new book; a hot love affair; a hot argument,"سَاخِن ,حار",ذو حرارة نفسية داخلية تتصف بحدة والحماس بالنسبة للعواطف والمشاعر وأساليب التعامل الخ,أخبار ساخنة. موضوع ساخن للنقاش. . مشاعر قوية وحارة
1260684,cold,extended meanings; especially of psychological coldness; without human warmth or emotion,a cold unfriendly nod; a cold and unaffectionate person; a cold impersonal manner; cold logic; the concert left me cold,بَارِد,"بارد من الناحية النفسية، خال من العواطف والانفعالات ","انطفأ الحب، وأصبحت علاقتهما باردة. "
1261689,human,having human form or attributes as opposed to those of animals or divine beings,human beings; the human body; human kindness; human frailty,"بَشَرِي, آدَمِي",له خصائص البشر مقارنة مع الحيوان أو الكائنات الروحية,كلام بشري. جسم بشري. صفات آدمية
1319176,inhibited,held back or restrained or prevented,in certain conditions previously inhibited conditioned reactions can reappear, مَكْبُوت,متراجع أو ممنوع أو مقيد من فعل أو قول شيء لأسباب معينة,في ظروف معينة تظهر ردود الأفعال المكبوتة
1323940,guilty,responsible for or chargeable with a reprehensible act; or marked by guilt,guilty of murder; the guilty person; secret guilty deeds; a guilty conscience; guilty behavior,مُذْنِب,من فعل خطأ ما أو كسر قاعدة أو عصى أمراً ما,من يرتكب الخطأ هو شخص مذنب. لا يستطيع النوم لأن ضميره مذنب
1332782,combined,made or joined or united into one,,مُتَّحِد,مرتبط ومتصل ببعضه حتى يصبح شيئاً واحداً,نجحت الجهود المتحدة في النهاية. عناصر متحدة في جزيء
1335338,intellectual,appealing to or using the intellect,satire is an intellectual weapon; intellectual workers engaged in creative literary or artistic or scientific labor; has tremendous intellectual sympathy for oppressed people; coldly intellectual; sort of the intellectual type; intellectual literature,"فِكْرِيّ, عَقْلِيّ","خاص بالقدرة على استخدام العقل، التفكير وفهم الأشياء والأفكار على مستوى عالٍ",ألعاب فكرية. إعاقة فكرية. قدرات عقلية
1345290,interested,having or showing interest; especially curiosity or fascination or concern,an interested audience; interested in sports; was interested to hear about her family; interested in knowing who was on the telephone; interested spectators, مُهْتَم,راغب بإبداء اهتمامك وانتباهك لشيء ما لتكتشف المزيد عنه,مهتم بالفن. مهتم بالعائلة. 
1364330,glad,showing or causing joy and pleasure; especially made happy,glad you are here; glad that they succeeded; gave a glad shout; a glad smile; heard the glad news; a glad occasion,"سَعِيد, مُبْتَهِج, مَسْرُور",يتصف بإبداء السعادة والسرور  أو منحهما لسبب ما,أخبار سعيدة.  ابتسامة مبتهجة. مسرور لأنك هنا.
1378100,known,apprehended with certainty,a known quantity; the limits of the known world; a musician known throughout the world; a known criminal,"مَعْرُوف, مُحَدَّد",مفهوم ومدرَك ومثبت عند الناس,. حدود معروفة. كمية محددة
1385012,"large, big",above average in size or number or quantity or magnitude or extent,a large city; set out for the big city; a large sum; a big (or large) barn; a large family; big businesses; a big expenditure; a large number of newspapers; a big group of scientists; large areas of the world,كَبِير,فوق المعدل الطبيعي بالحجم أو العدد أو الكمية أو المدى أو الأهمية,عائلة كبيرة . مبلغ كبير. مساحة كبيرة
1394303,"little, small",limited or below average in number or quantity or magnitude or extent,a little dining room; a little house; a small car; a little (or small) group,صغير,أقل من المعدل الطبيعي بالحجم أو العدد أو الكمية أو الأهمية أو الدرجة,الغرفة صغيرة لا تتسع للمزيد. منزل صغير مكون من غرفتين. مبلغ صغير يمكنني دفعه.
1398335,greater,greater in size or importance or degree,for the greater good of the community; the greater Antilles,"أَضْخَم, أَعْظَم",أكبر حجماً أو أهميةً أو درجة, . أضخم عرض حضرته. ما خفي أعظم
1403566,legal,established by or founded upon law or official or accepted rules,,قَانُونِي,مبني على قواعد وقوانين رسمية متفق عليها ,مخالفة السير عمل غير قانوني.  استشارة قانونية
1413922,"equal, equivalent, like, same",equal in amount or value,like amounts; equivalent amounts; the same amount; gave one six blows and the other a like number; an equal number; the same number," مُسَاوٍ, مُكَافِئ, مُمَاثِل",معادل في القيمة أو الحجم,جميع الناس مساوون لبعضهم في القانون. الكيلومتر مكافئ للألف متر. الكميات مماثلة لبعضها في التركيبة
1414308,likely,has a good chance of being the case or of coming about,these services are likely to be available to us all before long; she is likely to forget; a likely place for a restaurant; the broken limb is likely to fall; rain is likely; a likely topic for investigation; likely candidates for the job,"مُحْتَمَل, مُتَوَقَّع",له فرصة الحدوث,المطر محتمل الهطول. النجاح متوقع له
1415272,unlikely,has little chance of being the case or coming about,an unlikely story; an unlikely candidate for reelection; a butcher is unlikely to preach vegetarianism,"مِن غَيْر المُحْتَمَل,غَيْر مُحْتَمَل",فرصته في الحدوث مستبعدة,"من غير المحتمل فوزه في السباق. لقد تأخرت،وصولي في الموعد غير محتمل"
1421158,listed,on a list,,"مُدْرَج, مُقَيَّد, مُسَجَّل",موضوع في قائمة ,اللاعبون مدرجون في قوائم الاحتياط.  السلع المطلوبة مقيدة في قوائم المشتريات.  اسمك مسجل في قائمة المدعوين.
1427328,loaded,(of weapons) charged with ammunition,a loaded gun,مُلَقَّم,(سلاح) مزود بالذخيرة,المسدس ملقم بالرصاص
1427741,unloaded,(of weapons) not charged with ammunition,many people are killed by guns thought to be unloaded,غَيْر مُلَقَّم,(سلاح) غير مزود بالذخيرة,كثير من الناس قتلوا بأسلحة اعتُقِد أنها غير ملقمة
1428950,general,affecting the entire body,general symptoms; a general anesthetic,عَام,مؤثر على كامل الجسم,أعراض مرَضية عامة. وهن عام
1479992,male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,a male infant; a male holly tree,"ذَكَرِي, مُذّكَّر",(نبات أو حيوان) كونه جنس ينتج الأمشاج أو الحيوانات المنوية التي تؤدي وظيفة الإخصاب في التكاثر,المئبر هو العضو الذكري في الزهرة. الأسد حيوان ذكر. 
1481113,female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,a female heir; female holly trees bear the berries,"أنْثَوِي, مُؤَنَّت",(نبات أو حيوان) كونه جنس ينتج الأمشاج القابلة للتخصيب أو البويضات التي ينمو منها النسل,المبيض هو عضو التكاثر المؤنث في الزهرة. اللبوة حيوان أنثى.  
1481933,androgynous,having both male and female characteristics,, خُنْثَوِيّ,"له خصائص الذكورة والأنوثة في وقت واحد، أو يملك أعضاء تكاثر ذكرية وأنثوية",دودة الأرض مثال على حيوان خنثوي
1484919,married,joined in matrimony,a married man; a married couple,مُتَزَوِّج,من يرتبط بالجنس الآخر برباط الزوجية الرسمي والشرعي,هي امرأة متزوجة ولديها أطفال
1491608,mature,having reached full natural growth or development,a mature cell, نَاضِج,وصل إلى مرحلة من النمو والتطور الطبيعي حيث يمكنه الإنتاج والاستفادة منه,ثمرة ناضجة. شاب ناضج
1493085,immature,not yet mature,,غَيْر نَاضِج,ما زال صغيراً ولم يصل إلى مرحلة من النمو بحيث يمكنه الإنتاج ,البندورة الخضراء غير ناضجة. طفل غير ناضج
1502766,unmeasured,not measured,,لا محدود,"لا يمكن قياسه، غير محدود بقياس معين أو أكبر من أن يُقاس",السماء اللامحدودة. مسار طريق لا محدود
1509670,"melted, liquid, liquified",changed from a solid to a liquid state,rivers filled to overflowing by melted snow,"مُسَيَّل], مُسَال, مُذَوَّب",تغير من الحالة الصلبة إلى الحالة السائلة,حديد مسال. ثلج مذوب
1513206,intense,in an extreme degree,intense heat; intense anxiety; intense desire; intense emotion; the skunk's intense acrid odor; intense pain; enemy fire was intense,شَدِيد,قوي بدرجة عالية,ألم شديد. حرارة شديدة. رغبة شديدة
1518910,involved,connected by participation or association or use,"we accomplished nothing, simply because of the large number of people involved; the problems involved; the involved muscles; I don't want to get involved; everyone involved in the bribery case has been identified",مُشْتَرِك,جزء من نشاط أو حدث أو استخدام,مشترك في مؤامرة. مشترك في برنامج صباحي
1521164,military,associated with or performed by armed services as contrasted with civilians,military police,عَسْكَرِيّ,"يخص شؤون الخدمات المسلحة أو ينفَّذ من قبلها، خلافاً للمدنيين",شرطة عسكرية. عرض عسكري. أمر عسكري. خدمة عسكرية
1522004,civilian,associated with or performed by civilians as contrasted with the military,civilian clothing; civilian life,مَدَنِيّ,يخص ويُنفَّذ من قبل أشخاص عاديين من غير  أعضاء القوات المسلحة أو الشرطة,الهجوم على المدنيين ممنوع. لباس مدني
1522469,military,characteristic of or associated with soldiers or the military,military uniforms,عَسْكَرِي,ما يخص الجنود أو الجيش,لباس عسكري. 
1523038,"unmilitary, nonmilitary",not associated with soldiers or the military,unmilitary circles of government; fatigue duty involves nonmilitary labor,غَيْر عَسْكَرِيّ,لا علاقة له بالجنود أو الجيش,دوائر حكومية غير عسكرية. إسكان غير عسكري
1531539,"metal, metallic",containing or made of or resembling or characteristic of a metal,"a metallic compound; metallic luster; the strange metallic note of the meadow lark, suggesting the clash of vibrant blades""- Ambrose Bierce",مَعْدَنِي,يحتوي على المعدن أو مصنوع منه أو له خصائصه,غطاء معدني. صفيحة معدنية. وعاء معدني
1539804,modern,belonging to the modern era; since the Middle Ages,modern art; modern furniture; modern history; totem poles are modern rather than prehistoric,حَدِيث,"ينتمي إلى العصر الحديث، ابتداء من العصور الوسطى",التاريخ الحديث. مفروشات حديثة. أجهزة حديثة
1552360,moral,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,moral sense; a moral scrutiny; a moral lesson; a moral quandary; moral convictions; a moral life,أَخْلاقِي,"  يهتم بمعايير السلوك الصحيح والخاطئ، والتي يعتقد بها الشخص، خلافاً للقوانين",قيم أخلاقية. تعاليم أخلاقية يجب الالتزام بها
1555990,many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,many temptations; the temptations are many; a good many; a great many; many directions; take as many apples as you like; too many clouds to see; never saw so many people, كَثِير,عدد كبير لا محدود من شيء ما ,الشوارع مزدحمة بسيارات كثيرة. الرسائل لدي كثيرة ولا مجال لاستقبال المزيد
1566164,moving,in motion,a constantly moving crowd; the moving parts of the machine,مُتَحَرِّك,ما يتحرك باستمرار,كرسي متحرك. رسوم متحركة
1571309,continental,being or concerning or limited to a continent especially the continents of North America or Europe,the continental United States; continental Europe; continental waters,قَارِّي,"ما يخص قارة معينة، وخصوصاً أمريكا الشمالية وأوروبا",أفضل الأسلوب القاري في اللباس. تجارة قارية. المياه القارية
1584458,necessary,absolutely essential,," مُهِم, ضَرُورِي",هام لإنجاز نتيجة معينة,غسل اليدين قبل الأكل أمر ضروري. لدي اجتماع مهم. 
1598231,normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,serve wine at normal room temperature; normal diplomatic relations; normal working hours; normal word order; normal curiosity; the normal course of events," عَادِيّ, طَبِيعِيّ","معتاد، ويسير كما هو متوقع في العرف العام اجتماعياً، أو كمستوى معياري للأشياء",تصرف عادي. علاقتهما طبيعية جداً. شروط حرارة طبيعية 
1604915,north,situated in or facing or moving toward or coming from the north,artists like north light; the north portico,شَمَالِيّ,موقعه أو تحركه أو قادم من جهة الشمال,تقع الولايات المتحدة في أمريكا الشمالية
1606912,south,situated in or facing or moving toward or coming from the south,the south entrance,جَنُوبِيّ,موقعه أو تحركه أو قادم من جهة الجنوب,تقع البرازيل في أمريكا الجنوبية
1610335,northern,in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line,Northern liberals; northern industry; northern cities,شَمَالِي,له خاصية منطقة الولايات المتحدة الواقعة شمال خط ماسون ديكسون الفاصل بين أمريكا الشمالية والجنوبية,طقس شمالي بارد جداً
1611230,southern,in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line,southern hospitality; southern cooking; southern plantations,جَنُوبِي,له خاصية منطقة أمريكا الجنوبية الواقعة جنوب خط ماسون ديكسون الفاصل بين أمريكا الشمالية والجنوبية,المطبخ الجنوبي البرازيلي. العادات الجنوبية. لاعبو كرة قدم من المنطقة الجنوبية
1612560,noticed,being perceived or observed,an easily noticed effect on the rate of growth,مَلْحُوظ,شيء تم الانتباه إليه وإدراكه وبدا واضحاً,حضوره ملحوظ على وسائل التواصل الاجتماعي
1620077,subjective,taking place within the mind and modified by individual bias,a subjective judgment,ذاتي,ما يتأثر أو يبنى على المعتقدات والأفكار والآراء الشخصية وليس على الحقائق,لا تطلق أحكاماً ذاتية على أشخاص لا تعرفهم جيداً
1636580,official,having official authority or sanction,official permission; an official representative,رَسْمِيّ,تمت الموافقة عليه وترتيبه من قبل السلطة ,عليك الحصول على إذن رسمي لزيارة البلاد.  موافقة رسمية بالسفر
1645077,new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,a new law; new cars; a new comet; a new friend; a new year; the New World,جَدِيد,ما أتى للوجود أو اكتُشِف مؤخراً ,تعرفت على صديق جديد. تم سن قانون جديد. اشتريت منزلاً جديداً
1651383,"young, immature",(used of living things especially persons) in an early period of life or development or growth,young people,"نَاشِئ, شَاب, يَافِع",في المراحل الأولى للنمو والتطور,كرة القدم للناشئين. ما زال شاباً صغيراً. يافع بعمر الاثني عشر عاماً
1664693,operational,of or intended for or involved in military operations,, مُعَد لِلْعَمَلِيَّات الحَرْبِيَّة,مرتبط بالجاهزية لتنفيذ العمليات العسكرية ,وحداتنا العسكرية جاهزة للعمليات الحربية
1665283,"inactive, nonoperational",not involved in military operations,,غَيْر مُعَد لِلْعَمَلِيَّات الحَرْبِيَّة,غير فعال ولا علاقة له بالعمليات العسكرية,هذه العربات غير معدة للعمليات الحربية
1683714,organic,relating or belonging to the class of chemical compounds having a carbon basis,hydrocarbons are organic compounds,عُضْوِي,ينتمي إلى المركبات الكبميائية التي تحوي الكربون في تركيبها الأساسي,الهيدروكربونات مثال على مركبات عضوية
1684118,organic,being or relating to or derived from or having properties characteristic of living organisms,organic life; organic growth; organic remains found in rock,"عُضْوِي, عُضْوِيّ",له خصائص الكائنات الحية,وجدت بقايا عضوية أثناء الحفر. مختص في الحياة العضوية
1691099,original,being or productive of something fresh and unusual; or being as first made or thought of,a truly original approach; with original music; an original mind," أَصْلِي, أَصِيْل","موجود من البداية، أو ابتكره صاحب الفكرة، أو ما كان هو الأساس وليس النسخة أو التقليد",أحب سماع الموسيقى الأصلية وليس النسخ المحدثة. اشترِ البضاعة الأصلية واحذر التقليد
1698676,covered,overlaid or spread or topped with or enclosed within something; sometimes used as a combining form,women with covered faces; covered wagons; a covered balcony, مُغَطَّى,وُضع عليه طبقة من شيء ما لتحميه أو تخفيه ,الجدار مغطى بطبقة عازلة. الطعام مغطى بورق الألمنيوم
1712702,paid,marked by the reception of pay,paid work; a paid official; a paid announcement; a paid check,مَدْفُوع,تم الحصول عليه أو فعله مقابل المال,عمل مدفوع الأجر. بضاعة مدفوعة الثمن
1714268,unpaid,not paid,unpaid wages; an unpaid bill,غَيْر مَدْفُوع,عمل أو سلعة لم يتم دفع أجرها,الفاتورة غير مدفوعة بعد.  
1715524,painful,causing physical or psychological pain,worked with painful slowness," مُؤْلِم, مُوجِع",ما يسبب الأذى والألم الجسدي أو النفسي,جرح مؤلم. كلام موجع
1722394,parallel,being everywhere equidistant and not intersecting,parallel lines never converge; concentric circles are parallel; dancers in two parallel rows," مُتَوَازِي, مُوَاز",يسير جنباً إلى جنب بمحاذاة الشيء الآخر ولا يتقاطع معه أبداً,اصطف التلاميذ في رتلين متوازيين. المستقيمان الموازيان لبعضهما لا يتقاطعان
1732158,past,earlier than the present time; no longer current,time past; his youth is past; this past Thursday; the past year,مَاضِي,"شيء أو زمن حدث وانتهى  قبل النقطة الحاضرة، ولم يعد موجوداً ",في مثل هذا اليوم منذ سنتين ماضيتين. أصبحت القصة من الماضي
1736519,future,yet to be or coming,some future historian will evaluate him,مُسْتَقْبَل,ما سيحدث أو يأتي لاحقاً,أطفال اليوم شباب الزمن المستقبل. 
1737711,born,brought into existence,he was a child born of adultery,مَوْلُود,ما أتى إلى الوجود,طفل مولود ليصبح عالماً
1768325,"preventive, preventative",tending to prevent or hinder,,وِقَائِي,ما يمنع أو يعيق أمراً لتجنب الخطر ,إجراءات وقائية ضد المرض
1819670,political,involving or characteristic of politics or parties or politicians,"calling a meeting is a political act in itself""- Daniel Goleman; political pressure; a political machine; political office; political policy",سِيَاسِي,كل ما يخص الحكومة والدولة ونشاطاتها وما تديره داخلياً وخارجياً,أحزاب سياسية. نشطاء سياسيون. قضية سياسية
1819996,governmental,dealing with the affairs or structure of government or politics or the state,governmental policy,حُكُومِيّ,ما يخص سياسة الدولة وقضاياها وبنيتها  داخل البلاد,مدارس حكومية. دعم حكومي
1826770,possible,capable of happening or existing,a breakthrough may be possible next year; anything is possible; warned of possible consequences, مُمْكِن,يمكن فعله أو حدوثه أو وجوده,ليس من الممكن إنجاز العمل اليوم أبداً. تغيرات ممكن حدوثها لاحقاً
1829730,"stiff, strong, potent",having a strong physiological or chemical effect,a potent toxin; potent liquor; a potent cup of tea; a stiff drink,قَويّ,مؤثر وقوي بشكل كبير فيزيولوجياً أو كيميائياً,دواء قوي. مشروب قوي
1831389,powerful,having great power or force or potency or effect,the most powerful government in western Europe; his powerful arms; a powerful bomb; the horse's powerful kick; powerful drugs; a powerful argument, قَوِيّ,ذو سلطة أو تأثير أو نفوذ كبير,نقاش قوي. حكومة قوية
1340892,"calculated, deliberate, measured",carefully thought out in advance,a calculated insult; with measured irony,"مقصود,متعمد",وُجدت نية فعله مسبقاً,كلام مقصود. محاولة متعمدة
1871147,productive,producing or capable of producing (especially abundantly),productive farmland; his productive years; a productive collaboration, مُنْتِج,يمكنه إعطاء كمية وافرة من شيء ما,تعاون مثمر ومنتج. بقرة حلوب منتجة
1872485,unproductive,not producing or capable of producing,elimination of high-cost or unproductive industries, غَيْرمُنْتِج,غير قادر على إعطاء كمية وافرة من شيء ما,أصبحت الأرض غير منتجة بسبب الإهمال.
1874674,professional,engaged in a profession or engaging in as a profession or means of livelihood,the professional man or woman possesses distinctive qualifications; began her professional career after the Olympics; professional theater; professional football; a professional cook; professional actors and athletes, مُحْتَرِف,يتم العمل به باحترافية كوسيلة لكسب الرزق,طاهٍ محترف. رياضي محترف
1895355,proud,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride,proud parents; proud of his accomplishments; a proud moment; proud to serve his country; a proud name; proud princes,"مُعْتَزّ, فَخُور","كونك محترم لذاتك، وترى أنك تستحق الأفضل وأنك الأهم", معتز بنجاحي الكبير. فخور بإنجازك يا بني.
1920902,qualitative,involving distinctions based on qualities,qualitative change; qualitative data; qualitative analysis determines the chemical constituents of a substance or mixture,نَوْعِي,يخص صفات الشيء من حيث الجودة والسوء,اختلاف نوعي بين السلعتين. تغير نوعي للأفضل
1921311,quantitative,expressible as a quantity or relating to or susceptible of measurement,export wheat without quantitative limitations; quantitative analysis determines the amounts and proportions of the chemical constituents of a substance or mixture,كَمَّي,يخص الكميات بالأرقام,تحليل كمي. قيود كمية على الصادرات والواردات
1933678,emotional,determined or actuated by emotion rather than reason,it was an emotional judgment, عَاطِفِيّ,ما يتعلق بالمشاعر والعواطف وليس بالعقل والحكمة,فكر جيداً ولا تطلق أحكاماً عاطفية 
1935007,reactive,participating readily in reactions,sodium is a reactive metal; free radicals are very reactive,تَفَاعُلِيّ,يتصف بكونه جاهزاً بقوة للتفاعلات الكيميائية,الصوديوم عنصر تفاعلي مع المعادن. ثاني أكسيد النيتروجين غاز تفاعلي قوي
1935999,unreactive,not reacting chemically,,لاتَفَاعُلي,يتصف بكونه لا يميل للتفاعلات الكيميائية,مذيبات كيميائية لا تفاعلية
1939402,"real, existent",being or occurring in fact or actuality; having verified existence; not illusory,"real objects; real people; not ghosts; a film based on real life; a real illness; real humility; Life is real! Life is earnest!""- Longfellow","حَقِيقِي, وَاقِعِي","يجري أو يحدث في الواقع والحقيقة ، ووجوده مؤكد وليس وهماً",أشخاص حقيقيون وليسوا أشباحاً. المباني والشوارع والسيارات أشياء حقيقية
1960457,treated,subjected to a physical (or chemical) treatment or action or agent,the sludge of treated sewage can be used as fertilizer; treated timbers resist rot; treated fabrics resist wrinkling,مُعَالَج,خاضع لمعالجة أو فعل أو عامل فيزيائي أو كيميائي يغير تركيبه ومفعوله كلياً بهدف تحسينه وإعادة استخدامه,عدسات معالجة لتعكس أشعة الشمس. مياه البحر المعالجة
1961603,untreated,not subjected to chemical or physical treatment,an untreated fabric,غَيْرُ مُعَالَج,لم يخضع لأي معالجة أو عامل فيزيائي أو كيميائي يغير تركيبه,قماش خشن غير معالج
1972112,requested,asked for,the requested aid is forthcoming,مَطْلُوب,مطلوب فعله بشكل مهذب,اللباس الموحد مطلوب في العمل. 
1977842,regular,(used of the military) belonging to or engaged in by legitimate army forces,the regular army,نِظَامِيّ,ينتمي أو خاص  بقوات الجيش الشرعية التابعة للدولة,قوات الجيش النظامية
2042235,right,in conformance with justice or law or morality,do the right thing and confess,"صَحِيح, صَائِب",ما يتفق مع العدل أو القانون أو الأخلاق,تصرف صحيح. ليس من الصائب انتقاد الناس في غيابهم
2042744,wrong,contrary to conscience or morality or law,it is wrong for the rich to take advantage of the poor; cheating is wrong; it is wrong to lie," خَاطِئ,غَيْر صَالِح",ما يخالف الضمير أوالأخلاق أوالقانون,است الكذب فعل خاطئ. غلال الفقراء أمر غير صالح.
2048059,"circular, round",having a circular shape,," مُسْتَدِير, دَائِرِي",ما يتخذ شكل الدائرة, صنعت قرصاً مستديراً. سار في مسار دائري.
2065233,safe,free from danger or the risk of harm,a safe trip; you will be safe here; a safe place; a safe bet,آمِن,"خال من الأخطار أو الأذى، أو لا يسبب أي ضرر",سأبقى هنا فالمكان آمن. 
2066198,"unsafe, dangerous",involving or causing danger or risk; liable to hurt or harm,a dangerous criminal; a dangerous bridge; unemployment reached dangerous proportions,خَطِر,يسبب الخطر أو الأذى,وصلت البطالة إلى مستويات خطرة. ابتعد عن التيارات البحرية الخطرة
2069203,"salable, saleable",capable of being sold; fit for sale,saleable at a low price,قابِل للْبَيْع,"جيد ومناسب للبيع، ويطلبه الناس للشراء",المنزل قابل للبيع بسعر جيد. 
2069762,"unsaleable, unsalable",impossible to sell,,كَاسِد,لا بيع فيه ولا شراء ولا أحد يقبل بشرائه,تجارة كاسدة. سوق كاسدة. 
