PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or GAP,Arabic Gloss,Arabic Examples,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
866236,applied,concerned with concrete problems or data rather than with fundamental principles; opposed to theoretical,"applied physics; applied psychology; technical problems in medicine, engineering, economics and other applied discipcdlines""- Sidney Hook","[مُطَبَّق], [مُسْتَخْدَم]، (تطبيقي)",ما له استخدام عملي ومبادئ أساسية لحل مسائل محددة ,الكيمياء التطبيقية. علم النفس التطبيقي,"مُطَبَّق,مُسْتَخْدَم",تطبيقي,,تطبيقي
867880,unemployed,not engaged in a gainful occupation,unemployed workers marched on the capital,"[عَاطِل], [بَطَّال], [غَيْر عَامِل], <عَاطِل عن العَمَل>",غير مرتبط بوظيفة أو مهنة يكسب منها المال,لم يترك المسؤول أي شخص عاطل عن العمل إلا وأوجد له وظيفة,"عَاطِل,بَطَّال,غَيْر عَامِل",عَاطِل عن العَمَل,,عَاطِل عن العَمَل
875503,"endoergic, energy-absorbing",(of a nuclear reaction) occurring with absorption of energy,,<مَاصّ لِلْطَّاقَة>,صفة التفاعل الذري الذي يمتص الطاقة من الوسط المحيط,جميع التفاعلات النووية الضوئية ماصة للطاقة,,مَاصّ لِلْطَّاقَة,,مَاصّ لِلْطَّاقَة
875655,"exoergic, energy-releasing",(of a nuclear reaction) occurring with evolution or releasing of energy,,<مُطْلِق لِلْطَاقَة>,صفة التفاعل الذري الذي يطلق الطاقة,الاندماج النووي في النجوم يصبح مطلقاً للطاقة كما في الشمس,,مُطْلِق لِلْطَاقَة,,مُطْلِق لِلْطَاقَة
883449,increased,made greater in size or amount or degree,,"مُتَزَايِد, [زَائِد]",ما أصبح أكبر بالحجم أو الكمية أو الدرجة,تصبح الكثافة السكانية متزايدة يوماً بعد يوم,زَائِد,,,مُتَزَايِد
884977,"reduced, decreased",made less in size or amount or degree,,"[نَاقِص], [مُخَفَّض]، (متناقص)",ما أصبح أقل بالحجم أوالكمية أوالدرجة,أصبح رصيده من المال متناقصاً بسبب السحب العشوائي,"نَاقِص,مُخَفَّض",متناقص,,متناقص
891011,"wishful, desirous",having or expressing desire for something,desirous of high office; desirous of finding a quick solution to the problem,"رَاغِب ب, تَوَّاق",يبدي رغبة لشيء ما.,راغب بإيجاد حل للمشكلة. تواق إلى تحقيق أهدافي,,,,"رَاغِب ب, تَوَّاق"
893124,equal,"well matched; having the same quantity, value, or measure as another",on equal terms; all men are equal before the law,"[مُمَاثِل], مُعَادِل, مُسَاو, [مُتَكَافِئ]","ما هو متطابق مع الشيء الآخر، وله نفس القيمة أوالكمية أو القياس ",جميع الناس معادلون لبعضهم أمام القانون. قيمة الطرف الأول في المعادلة مساوية لقيمة الطرف الثاني ,"مُمَاثِل,مُتَكَافِئ",,," مُعَادِل, مُسَاو"
916501,even,divisible by two,,زَوْجِي,عدد يقبل القسمة على اثنين دون باق,"الأعداد أربعة، ثمانية، عشرون هي أعداد زوجية",,,,زَوْجِي
916568,odd,not divisible by two,,فَرْدِي,عدد لا يقبل القسمة على اثنين,"الأعداد خمسة، أحد عشر، خمس وعشرون هي أعداد فردية",,,,فَرْدِي
939307,"intimate, knowledgeable, versed",thoroughly acquainted through study or experience,"this girl, so intimate with nature""-W.H.Hudson; knowledgeable about the technique of painting""- Herbert Read",عَلِيم,بتصف بمعرفة الكثير من خلال الدراسة والتجربة,إنه عليم بخفايا المهنة. عليم بأسرار الفن,,,,عَلِيم
951878,internal,happening or arising or located within some limits or especially surface,internal organs; internal mechanism of a toy; internal party maneuvering,"باطِنِيّ, دَاخِلِي",ما يحدث أو ينشأ داخل حدود معينة,العقل الباطني. صراع داخي بين العاطفة والحكمة,,,,"باطِنِيّ, دَاخِلِي"
979699,fast,acting or moving or capable of acting or moving quickly,fast film; on the fast track in school; set a fast pace; a fast car,سَرِيع, يتحرك أو يستطيع أن يتحرك بسرعة,عداء سريع. سيارة سريعة,,,,سَرِيع
989218,fat,having much flesh (especially fat),he hadn't remembered how fat she was,بَدِين,لديه المزيد من اللحم على جسده,تناول الدهون والسكريات يجعلك بديناً,,,,بَدِين
995188,"fatty, fat",containing or composed of fat,fatty food; fat tissue,"[سَمِين]، ( دهني )",يحتوي على دهون أو مركب منها,طعأم دهني. نسيج دهني,سَمِين, دهني ,, دهني 
1010155,finite,bounded or limited in magnitude or spatial or temporal extent,,"مُحَدَّد,[ مُنْتَهٍ],[ مُقَيَّد]",محدود ومقيد بحجم أو زمان أو مكان وينتهي عند نقطة معينة,لدينا وقت محدد لإنجاز المهمة," مُنْتَهٍ, مُقَيَّد",,,مُحَدَّد
1014459,first,preceding all others in time or space or degree,the first house on the right; the first day of spring; his first political race; her first baby; the first time; the first meetings of the new party; the first phase of his training,"أَوَّل, أُولَى",سابق للجميع في الوقت والمكان والدرجة,الطالب الأول. طفلها الأول. المرحلة الأولى,,,,"أَوَّل, أُولَى"
1016876,last,coming after all others in time or space or degree or being the only one remaining,the last time I saw Paris; the last day of the month; had the last word; waited until the last minute; he raised his voice in a last supreme call; the last game of the season; down to his last nickel,"أخِير, آخِر",ما يأتي بعد كل شيء في الوقت والمكان والدرجة أو يكون هو المتبقي الوحيد,قال كلمته الأخيرة وانصرف. انتظر حتى اللحظة الأخيرة. آخر يوم في العمل قبل الاستقالة,,,,"أخِير, آخِر"
1017848,intermediate,lying between two extremes in time or space or degree,going from sitting to standing without intermediate pushes with the hands; intermediate stages in a process; intermediate stops on the route; an intermediate level,مُتَوَسِّط,واقع بين طرفين في الوقت والمكان والدرجة,في مرحلة متوسطة من العمر . مستواه متوسط ليس بالجيد ولا السيء,,,,مُتَوَسِّط
1034481,straight,(of hair) having no waves or curls,her naturally straight hair hung long and silky,مُسْتَقِيم,(للشعر) مسترسل ليس له أي تجعيدات أو تموجات,يمكنك عمل الشعر مستقيماً ناعماً باستخدام جهاز خاص,,,,مُسْتَقِيم
1041222,foreign,of concern to or concerning the affairs of other nations (other than your own),foreign trade; a foreign office,"أجْنَبِي,[ خَارِجِي]",يخص شؤون البلاد الأخرى ( وليس بلدك أنت),بضاعة أجنبية. تجارة أجنبية, خَارِجِي,,,أجْنَبِي
1045598,formal,being in accord with established forms and conventions and requirements (as e.g. of formal dress),pay one's formal respects; formal dress; a formal ball; the requirement was only formal and often ignored; a formal education,رَسْمِي,ما يتوافق مع النظام الأصول والقواعد ولا يميل إلى رفع الكلفة ,لباس العمل الرسمي. استقبال رئاسي رسمي,,,,رَسْمِي
1062062,free,unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion,free expansion; free oxygen; a free electron,حُرّ,غير مقيد أو غير مرتبط كيميائياً بجزيء أو غير ثابت وقادر على الحركة غير المقيدة نسبياً,شوارد حرة,,,,حُرّ
1062553,bound,"held with another element, substance or material in chemical or physical union",,مُرْتَبِط,مقيد بعنصر أو مادة آخرى برباط كيميائي أو فيزيائي,تكون الذرات في الجزيء مرتبطة بروابط كيميائية ,,,,مُرْتَبِط
1065188,free,able to act at will; not hampered; not under compulsion or restraint,free enterprise; a free port; a free country; I have an hour free; free will; free of racism; feel free to stay as long as you wish; a free choice,حُرّ,"يتصرف بمشيئته بلا قيود أو عوائق تمنعه، ليس عليه ضغط أو إلزام",أنت حر بالبقاء أو الذهاب. إرادة حرة. ,,,,حُرّ
1069383,free,not held in servitude,after the Civil War he was a free man,طَلِيق,ليس سجيناً أو مستعبداً من أحد,أصبح السجين حراً طليقاً. ,,,,طَلِيق
1081990,frozen,turned into ice; affected by freezing or by long and severe cold,the frozen North; frozen pipes; children skating on a frozen brook,"[مُجَمَّد], مُتَجَمِّد",ما تحول إلى جليد بفعل التبريد القاسي المطول,القطب المتجمد الشمالي. طعام متجمد في الثلاجة,مُجَمَّد,,, مُتَجَمِّد
1090234,empty,holding or containing nothing,an empty glass; an empty room; full of empty seats; empty hours,"خَاوٍ, فَارِغ",ما لا يحتوي على أي شيء,بيت خاوٍ لا يسكنه أحد. كأس فارغة من الماء,,,,"خَاوٍ, فَارِغ"
1092828,full-time,for the entire time appropriate to an activity,a full-time job,"[تَفَرُّغ تام], دَوَام كَامِل",الوقت الكامل المناسب لأداء نشاط أو وظيفة معينة,وظيفة صعبة بدوام كامل من الصباح إلى المساء,تَفَرُّغ تام,,, دَوَام كَامِل
1093061,"part-time, parttime",involving less than the standard or customary time for an activity,part-time employees; a part-time job,"<دَوَام جُزْئي>,[ غَيْر مُتَفَرَّغ], [نِصْف تَفَرّثغ]",وقت أقل من اللازم لأداء نشاط أو وظيفة معينة,الوظيفة بدوام جزئي تعتبر مريحة بالنسبة للأم العاملة," غَيْر مُتَفَرَّغ,نِصْف تَفَرّثغ",دَوَام جُزْئي,,دَوَام جُزْئي
1105084,general,applying to all or most members of a category or group,the general public; general assistance; a general rule; in general terms; comprehensible to the general reader,عَام,ينطبق على كل الأعضاء الموجودة في الفئة أو المجموعة,قاعدة عامة. امتحان عام. ,,,,عَام
1109313,nonspecific,not caused by a specific agent; used also of staining in making microscope slides,nonspecific enteritis,<لَانَوْعِيّ>,"لا يسببه عامل معين، ويستخدم في تلطيخ الشرائح المجهرية",ألم الصدر مرض لا نوعي,,لَانَوْعِيّ,,لَانَوْعِيّ
1109533,national,concerned with or applicable to or belonging to an entire nation or country,the national government; national elections; of national concern; the national highway system; national forests,"وَطَنِي, قَوْمِي",ما له علاقة أو يخص أو ينتمي إلى دولة أو أمة بكاملها,الحكومة الوطنية. الحزب القومي,,,,"وَطَنِي, قَوْمِي"
1113070,nonproprietary,not protected by trademark or patent or copyright,nonproprietary products are in the public domain and anyone can produce or distribute them,"<غَيرُ مُسَجَّلِ المِلْكِيَّة>, [غَيرُ مُسَجَّلِ]",غير محمي بشكل رسمي بعلامة تجارية مسجلة أو بحقوق الملكية ,السلع غير مسجلة الملكية تكون في متناول العموم. ,غَيرُ مُسَجَّلِ,غَيرُ مُسَجَّلِ المِلْكِيَّة,,غَيرُ مُسَجَّلِ المِلْكِيَّة
1113625,proprietary,protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights,`Tylenol' is a proprietary drug of which `acetaminophen' is the generic form,"[مُسَجَّل,] <مُسَجَّلُ المِلْكِيَّة>","محمي بشكل رسمي بحقوق الملكية القانونية أو علامة تجارية، ويتم إنتاجه وتوزيعه من خلال من يملك ترخيصاً استثنائياً",يجب أن يكون المنزل مسجل الملكية بشكل قانوي حتى لا يضيع حق صاحبه,مُسَجَّل,مُسَجَّلُ المِلْكِيَّة,,مُسَجَّلُ المِلْكِيَّة
1151786,happy,enjoying or showing or marked by joy or pleasure or good fortune,a happy smile; spent many happy days on the beach; a happy marriage,سَعِيد,يشعر أو يبدي البهجة والارتياح النفسي ويظهر عليه السرور والحظ الجيد,أنا سعيد اليوم لأني قضيته مع أصدقائي,,,,سَعِيد
1154418,hard,resisting weight or pressure,,"صَلْب, قَاسٍ",مقاوم للضغط والوزن وتغيير الشكل تحت الشروط الطبيعية,"الحجر، الخشب، الحديد مواد صلبة. احذر السقوط فالأرض قاسية جداً",,,,"صَلْب, قَاسٍ"
1156249,soft,yielding readily to pressure or weight,,"لَيِّن, رَخْو",مِطواع بسهولة للضغط والوزن وتغيير الشكل في الشروط الطبيعية,فرو لين. قماش رخو,,,,"لَيِّن, رَخْو"
1194226,heavy,unusually great in degree or quantity or number,heavy taxes; a heavy fine; heavy casualties; heavy losses; heavy rain; heavy traffic,"ثَقِيل, ضَخْم, [وَافِر], [زَائِد الوَزْن], شَدِيد",عظيم الحجم أو الكمية أو العدد بشكل غير اعتيادي, وزن ثقيل. خسائر ضخمة. مطر شديد.,"وَافِر,زَائِد الوَزْن",,,"ثَقِيل, ضَخْم, شَدِيد"
1235508,horizontal,parallel to or in the plane of the horizon or a base line,a horizontal surface,أُفُقِي,موازٍ أو على مستوى خط الأفق,سطح أفقي,,,,أُفُقِي
1236220,"vertical, perpendicular",at right angles to the plane of the horizon or a base line,a vertical camera angle; the monument consists of two vertical pillars supporting a horizontal slab; measure the perpendicular height,"عَمُودِي,[ مُتَعَامِد], رَأسِي",متعامد أو على زاوية قائمة مع السطح الأفقي, محور عمودي. أعمدة رأسية., مُتَعَامِد,,,"عَمُودِي, رَأسِي"
1250274,hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,hot stove; hot water; a hot August day; a hot stuffy room; she's hot and tired; a hot forehead,سَاخِن,ذو درجة حرارة مرتفعة عن الطبيعي أو المعتاد أو المرغوب لكونه تعرض لحرارة أو احتراق,"المياه ساخنة، سأتركها تبرد. الطفل مريض وجبينه ساخن",,,,سَاخِن
1254201,cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigerationل ,"a cold climate; a cold room; dinner has gotten cold; cold fingers; if you are cold, turn up the heat; a cold beer",بَارِد,ذو درجة حرارة أقل من الطبيعي أو المعتاد أو المرغوب به بفعل تعرضه لتبريد أو ثلج,لا يمكنني السباحة في المياه الباردة,,,,بَارِد
1259404,hot,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,a hot temper; a hot topic; a hot new book; a hot love affair; a hot argument,"سَاخِن، (حار)",ذو حرارة نفسية داخلية تتصف بحدة والحماس بالنسبة للعواطف والمشاعر وأساليب التعامل الخ,أخبار ساخنة. موضوع ساخن للنقاش. . مشاعر قوية وحارة,,حار,,"سَاخِن ,حار"
1260684,cold,extended meanings; especially of psychological coldness; without human warmth or emotion,a cold unfriendly nod; a cold and unaffectionate person; a cold impersonal manner; cold logic; the concert left me cold,"بَارِد, [فَاتِر]","بارد من الناحية النفسية، خال من العواطف والانفعالات ","انطفأ الحب، وأصبحت علاقتهما باردة. ",فَاتِر,,,بَارِد
1261689,human,having human form or attributes as opposed to those of animals or divine beings,human beings; the human body; human kindness; human frailty,"بَشَرِي,[ إِنْسَانِي], آدَمِي",له خصائص البشر مقارنة مع الحيوان أو الكائنات الروحية,كلام بشري. جسم بشري. صفات آدمية, إِنْسَانِي,,,"بَشَرِي, آدَمِي"
1319176,inhibited,held back or restrained or prevented,in certain conditions previously inhibited conditioned reactions can reappear,"[مَكْبُوح],[ مُثَبَّطَة], مَكْبُوت",متراجع أو ممنوع أو مقيد من فعل أو قول شيء لأسباب معينة,في ظروف معينة تظهر ردود الأفعال المكبوتة,"مَكْبُوح, مُثَبَّطَة",,, مَكْبُوت
1323940,guilty,responsible for or chargeable with a reprehensible act; or marked by guilt,guilty of murder; the guilty person; secret guilty deeds; a guilty conscience; guilty behavior,"مُذْنِب,[ مُجْرِم], [جَانٍ]",من فعل خطأ ما أو كسر قاعدة أو عصى أمراً ما,من يرتكب الخطأ هو شخص مذنب. لا يستطيع النوم لأن ضميره مذنب," مُجْرِم,جَانٍ",,,مُذْنِب
1332782,combined,made or joined or united into one,,"مُتَّحِد, [مُشْتَرَك]",مرتبط ومتصل ببعضه حتى يصبح شيئاً واحداً,نجحت الجهود المتحدة في النهاية. عناصر متحدة في جزيء,مُشْتَرَك,,,مُتَّحِد
1335338,intellectual,appealing to or using the intellect,satire is an intellectual weapon; intellectual workers engaged in creative literary or artistic or scientific labor; has tremendous intellectual sympathy for oppressed people; coldly intellectual; sort of the intellectual type; intellectual literature,"فِكْرِيّ, عَقْلِيّ","خاص بالقدرة على استخدام العقل، التفكير وفهم الأشياء والأفكار على مستوى عالٍ",ألعاب فكرية. إعاقة فكرية. قدرات عقلية,,,,"فِكْرِيّ, عَقْلِيّ"
1345290,interested,having or showing interest; especially curiosity or fascination or concern,an interested audience; interested in sports; was interested to hear about her family; interested in knowing who was on the telephone; interested spectators,"[رَاغِب], مُهْتَم",راغب بإبداء اهتمامك وانتباهك لشيء ما لتكتشف المزيد عنه,مهتم بالفن. مهتم بالعائلة. ,رَاغِب,,, مُهْتَم
1364330,glad,showing or causing joy and pleasure; especially made happy,glad you are here; glad that they succeeded; gave a glad shout; a glad smile; heard the glad news; a glad occasion,"سَعِيد, مُبْتَهِج, [فَرِح], مَسْرُور",يتصف بإبداء السعادة والسرور  أو منحهما لسبب ما,أخبار سعيدة.  ابتسامة مبتهجة. مسرور لأنك هنا.,فَرِح,,,"سَعِيد, مُبْتَهِج, مَسْرُور"
1378100,known,apprehended with certainty,a known quantity; the limits of the known world; a musician known throughout the world; a known criminal,"مَعْرُوف, مُحَدَّد",مفهوم ومدرَك ومثبت عند الناس,. حدود معروفة. كمية محددة,,,,"مَعْرُوف, مُحَدَّد"
1385012,"large, big",above average in size or number or quantity or magnitude or extent,a large city; set out for the big city; a large sum; a big (or large) barn; a large family; big businesses; a big expenditure; a large number of newspapers; a big group of scientists; large areas of the world,كَبِير,فوق المعدل الطبيعي بالحجم أو العدد أو الكمية أو المدى أو الأهمية,عائلة كبيرة . مبلغ كبير. مساحة كبيرة,,,,كَبِير
1394303,"little, small",limited or below average in number or quantity or magnitude or extent,a little dining room; a little house; a small car; a little (or small) group,"[دَقِيق], [مِجْهَرِي]، (صغير)",أقل من المعدل الطبيعي بالحجم أو العدد أو الكمية أو الأهمية أو الدرجة,الغرفة صغيرة لا تتسع للمزيد. منزل صغير مكون من غرفتين. مبلغ صغير يمكنني دفعه.,"دَقِيق,مِجْهَرِي",صغير,,صغير
1398335,greater,greater in size or importance or degree,for the greater good of the community; the greater Antilles,"أَضْخَم, أَعْظَم",أكبر حجماً أو أهميةً أو درجة, . أضخم عرض حضرته. ما خفي أعظم,,,,"أَضْخَم, أَعْظَم"
1403566,legal,established by or founded upon law or official or accepted rules,,قَانُونِي,مبني على قواعد وقوانين رسمية متفق عليها ,مخالفة السير عمل غير قانوني.  استشارة قانونية,,,,قَانُونِي
1413922,"equal, equivalent, like, same",equal in amount or value,like amounts; equivalent amounts; the same amount; gave one six blows and the other a like number; an equal number; the same number,"[مِثْل], [مُرَادِف], مُسَاوٍ, مُكَافِئ, مُمَاثِل,[ نَفْس]",معادل في القيمة أو الحجم,جميع الناس مساوون لبعضهم في القانون. الكيلومتر مكافئ للألف متر. الكميات مماثلة لبعضها في التركيبة,"مِثْل,مُرَادِف, نَفْس",,," مُسَاوٍ, مُكَافِئ, مُمَاثِل"
1414308,likely,has a good chance of being the case or of coming about,these services are likely to be available to us all before long; she is likely to forget; a likely place for a restaurant; the broken limb is likely to fall; rain is likely; a likely topic for investigation; likely candidates for the job,"مُحْتَمَل, [مِن المُحْتَمَل], مُتَوَقَّع",له فرصة الحدوث,المطر محتمل الهطول. النجاح متوقع له,مِن المُحْتَمَل,,,"مُحْتَمَل, مُتَوَقَّع"
1415272,unlikely,has little chance of being the case or coming about,an unlikely story; an unlikely candidate for reelection; a butcher is unlikely to preach vegetarianism,"<مِن غَيْر المُحْتَمَل>, <غَيْر مُحْتَمَل>",فرصته في الحدوث مستبعدة,"من غير المحتمل فوزه في السباق. لقد تأخرت،وصولي في الموعد غير محتمل",,"مِن غَيْر المُحْتَمَل,غَيْر مُحْتَمَل",,"مِن غَيْر المُحْتَمَل,غَيْر مُحْتَمَل"
1421158,listed,on a list,,"مُدْرَج, مُقَيَّد, مُسَجَّل",موضوع في قائمة ,اللاعبون مدرجون في قوائم الاحتياط.  السلع المطلوبة مقيدة في قوائم المشتريات.  اسمك مسجل في قائمة المدعوين.,,,,"مُدْرَج, مُقَيَّد, مُسَجَّل"
1427328,loaded,(of weapons) charged with ammunition,a loaded gun,مُلَقَّم,(سلاح) مزود بالذخيرة,المسدس ملقم بالرصاص,,,,مُلَقَّم
1427741,unloaded,(of weapons) not charged with ammunition,many people are killed by guns thought to be unloaded,<غَيْر مُلَقَّم>,(سلاح) غير مزود بالذخيرة,كثير من الناس قتلوا بأسلحة اعتُقِد أنها غير ملقمة,,غَيْر مُلَقَّم,,غَيْر مُلَقَّم
1428950,general,affecting the entire body,general symptoms; a general anesthetic,عَام,مؤثر على كامل الجسم,أعراض مرَضية عامة. وهن عام,,,,عَام
1479992,male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,a male infant; a male holly tree,"ذَكَرِي, مُذّكَّر",(نبات أو حيوان) كونه جنس ينتج الأمشاج أو الحيوانات المنوية التي تؤدي وظيفة الإخصاب في التكاثر,المئبر هو العضو الذكري في الزهرة. الأسد حيوان ذكر. ,,,,"ذَكَرِي, مُذّكَّر"
1481113,female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,a female heir; female holly trees bear the berries,"أنْثَوِي, مُؤَنَّت",(نبات أو حيوان) كونه جنس ينتج الأمشاج القابلة للتخصيب أو البويضات التي ينمو منها النسل,المبيض هو عضو التكاثر المؤنث في الزهرة. اللبوة حيوان أنثى.  ,,,,"أنْثَوِي, مُؤَنَّت"
1481933,androgynous,having both male and female characteristics,,"[ثُنائي الجِنْس], خُنْثَوِيّ","له خصائص الذكورة والأنوثة في وقت واحد، أو يملك أعضاء تكاثر ذكرية وأنثوية",دودة الأرض مثال على حيوان خنثوي,ثُنائي الجِنْس,,, خُنْثَوِيّ
1484919,married,joined in matrimony,a married man; a married couple,مُتَزَوِّج,من يرتبط بالجنس الآخر برباط الزوجية الرسمي والشرعي,هي امرأة متزوجة ولديها أطفال,,,,مُتَزَوِّج
1491608,mature,having reached full natural growth or development,a mature cell,"[مُكْتَمِل], نَاضِج",وصل إلى مرحلة من النمو والتطور الطبيعي حيث يمكنه الإنتاج والاستفادة منه,ثمرة ناضجة. شاب ناضج,مُكْتَمِل,,, نَاضِج
1493085,immature,not yet mature,,<غَيْر نَاضِج>,ما زال صغيراً ولم يصل إلى مرحلة من النمو بحيث يمكنه الإنتاج ,البندورة الخضراء غير ناضجة. طفل غير ناضج,,غَيْر نَاضِج,,غَيْر نَاضِج
1502766,unmeasured,not measured,,"[غَيْر مُقَاس]، (<لا محدود>)","لا يمكن قياسه، غير محدود بقياس معين أو أكبر من أن يُقاس",السماء اللامحدودة. مسار طريق لا محدود,غَيْر مُقَاس,لا محدود,,لا محدود
1509670,"melted, liquid, liquified",changed from a solid to a liquid state,rivers filled to overflowing by melted snow,"مُسَيَّل], مُسَال, [مُمَيَّع],[ مُذَاب], مُذَوَّب",تغير من الحالة الصلبة إلى الحالة السائلة,حديد مسال. ثلج مذوب,"مُمَيَّع, مُذَاب",,,"مُسَيَّل], مُسَال, مُذَوَّب"
1513206,intense,in an extreme degree,intense heat; intense anxiety; intense desire; intense emotion; the skunk's intense acrid odor; intense pain; enemy fire was intense,شَدِيد,قوي بدرجة عالية,ألم شديد. حرارة شديدة. رغبة شديدة,,,,شَدِيد
1518910,involved,connected by participation or association or use,"we accomplished nothing, simply because of the large number of people involved; the problems involved; the involved muscles; I don't want to get involved; everyone involved in the bribery case has been identified","مُشْتَرِك, [مُتَوَرِّط]",جزء من نشاط أو حدث أو استخدام,مشترك في مؤامرة. مشترك في برنامج صباحي,مُتَوَرِّط,,,مُشْتَرِك
1521164,military,associated with or performed by armed services as contrasted with civilians,military police,عَسْكَرِيّ,"يخص شؤون الخدمات المسلحة أو ينفَّذ من قبلها، خلافاً للمدنيين",شرطة عسكرية. عرض عسكري. أمر عسكري. خدمة عسكرية,,,,عَسْكَرِيّ
1522004,civilian,associated with or performed by civilians as contrasted with the military,civilian clothing; civilian life,مَدَنِيّ,يخص ويُنفَّذ من قبل أشخاص عاديين من غير  أعضاء القوات المسلحة أو الشرطة,الهجوم على المدنيين ممنوع. لباس مدني,,,,مَدَنِيّ
1522469,military,characteristic of or associated with soldiers or the military,military uniforms,عَسْكَرِي,ما يخص الجنود أو الجيش,لباس عسكري. ,,,,عَسْكَرِي
1523038,"unmilitary, nonmilitary",not associated with soldiers or the military,unmilitary circles of government; fatigue duty involves nonmilitary labor,<غَيْر عَسْكَرِيّ>,لا علاقة له بالجنود أو الجيش,دوائر حكومية غير عسكرية. إسكان غير عسكري,,غَيْر عَسْكَرِيّ,,غَيْر عَسْكَرِيّ
1531539,"metal, metallic",containing or made of or resembling or characteristic of a metal,"a metallic compound; metallic luster; the strange metallic note of the meadow lark, suggesting the clash of vibrant blades""- Ambrose Bierce",مَعْدَنِي,يحتوي على المعدن أو مصنوع منه أو له خصائصه,غطاء معدني. صفيحة معدنية. وعاء معدني,,,,مَعْدَنِي
1539804,modern,belonging to the modern era; since the Middle Ages,modern art; modern furniture; modern history; totem poles are modern rather than prehistoric,حَدِيث,"ينتمي إلى العصر الحديث، ابتداء من العصور الوسطى",التاريخ الحديث. مفروشات حديثة. أجهزة حديثة,,,,حَدِيث
1552360,moral,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,moral sense; a moral scrutiny; a moral lesson; a moral quandary; moral convictions; a moral life,أَخْلاقِي,"  يهتم بمعايير السلوك الصحيح والخاطئ، والتي يعتقد بها الشخص، خلافاً للقوانين",قيم أخلاقية. تعاليم أخلاقية يجب الالتزام بها,,,,أَخْلاقِي
1555990,many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,many temptations; the temptations are many; a good many; a great many; many directions; take as many apples as you like; too many clouds to see; never saw so many people,"[عَدِيد], كَثِير,[ مُتَعَدِّد]",عدد كبير لا محدود من شيء ما ,الشوارع مزدحمة بسيارات كثيرة. الرسائل لدي كثيرة ولا مجال لاستقبال المزيد,"عَدِيد, مُتَعَدِّد",,, كَثِير
1566164,moving,in motion,a constantly moving crowd; the moving parts of the machine,مُتَحَرِّك,ما يتحرك باستمرار,كرسي متحرك. رسوم متحركة,,,,مُتَحَرِّك
1571309,continental,being or concerning or limited to a continent especially the continents of North America or Europe,the continental United States; continental Europe; continental waters,قَارِّي,"ما يخص قارة معينة، وخصوصاً أمريكا الشمالية وأوروبا",أفضل الأسلوب القاري في اللباس. تجارة قارية. المياه القارية,,,,قَارِّي
1584458,necessary,absolutely essential,,"[مُتَطَلَّب], [أسَاسِي], [وَاجِب], مُهِم, ضَرُورِي,[ فَرِض], [لَازِم]",هام لإنجاز نتيجة معينة,غسل اليدين قبل الأكل أمر ضروري. لدي اجتماع مهم. ,"مُتَطَلَّب,أسَاسِي,وَاجِب, فَرِض,لَازِم",,," مُهِم, ضَرُورِي"
1598231,normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,serve wine at normal room temperature; normal diplomatic relations; normal working hours; normal word order; normal curiosity; the normal course of events,"[قِيَاسِيّ], عَادِيّ, [نِظامِيّ], طَبِيعِيّ","معتاد، ويسير كما هو متوقع في العرف العام اجتماعياً، أو كمستوى معياري للأشياء",تصرف عادي. علاقتهما طبيعية جداً. شروط حرارة طبيعية ,"قِيَاسِيّ,نِظامِيّ",,," عَادِيّ, طَبِيعِيّ"
1604915,north,situated in or facing or moving toward or coming from the north,artists like north light; the north portico,شَمَالِيّ,موقعه أو تحركه أو قادم من جهة الشمال,تقع الولايات المتحدة في أمريكا الشمالية,,,,شَمَالِيّ
1606912,south,situated in or facing or moving toward or coming from the south,the south entrance,جَنُوبِيّ,موقعه أو تحركه أو قادم من جهة الجنوب,تقع البرازيل في أمريكا الجنوبية,,,,جَنُوبِيّ
1610335,northern,in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line,Northern liberals; northern industry; northern cities,شَمَالِي,له خاصية منطقة الولايات المتحدة الواقعة شمال خط ماسون ديكسون الفاصل بين أمريكا الشمالية والجنوبية,طقس شمالي بارد جداً,,,,شَمَالِي
1611230,southern,in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line,southern hospitality; southern cooking; southern plantations,جَنُوبِي,له خاصية منطقة أمريكا الجنوبية الواقعة جنوب خط ماسون ديكسون الفاصل بين أمريكا الشمالية والجنوبية,المطبخ الجنوبي البرازيلي. العادات الجنوبية. لاعبو كرة قدم من المنطقة الجنوبية,,,,جَنُوبِي
