PWN Id,English lemmas,English gloss,English examples,Arabic lemmas or Gap,Arabic gloss,Arabic exampes
264920,"blow up, inflate",fill with gas or air,inflate a balloons,نَفَخَ,يزيد من حجم شيء( بملئه بالغاز أو الهواء),ينتفخ الكيس الهوائي في السيارة عند الاصطدام. نفخت البالون للطفل. نفخ إطار السيارة
265761,"acetify, acidify",turn acidic,the solution acetified,"تَحَمَّضَ, حَمَّضَ",تتحول أو يحول  المادة إلى خل أو حمض,يمكن تحميض المواد بإضافة الخل أو الليمون
265980,"alkalise, alkalify, alkalize, basify",turn basic and less acidic,the solution alkalized,"تَقَلْوَنَ, قَلْوَنَ",تتحول أو يحول المادة إلى أساس ( تركيبة قاعدية) وأقل حمضية,يمكن قلونة المادة بإضافة شوارد الهيدروكسيد إلى المحلول
267083,"polymerise, polymerize",undergo polymerization,,تَبَلْمَرَ,أن تخضع المادة لعملية البلمرة وهي ارتباط الجزيئات الصغيرة ببعضها لتكوين جزيء كبير نسبياً من مادة أخرى,تبلمر البولي إيثيلين 
267472,"polymerise, polymerize",cause (a compound) to polymerize,,بَلْمَرَ,يجعل المادة تخضع صناعياً للبلمرة بعملية ارتباط الجزيئات الصغيرة ببعضها لتكوين مادة أخرة, المطاط والبلاستيك والألياف الكيماوية مواد صناعية تمت بلمرتها
267684,"ionize, ionise",convert into ions,,أيَّنَ,يحول إلى أيونات سواء بالذوبان أو الشحن أو التفريغ الكهربائي ,"من أمثلة التأيين ذوبان الملح في الماء، أو الغاز تحت تأثير الأشعة"
270309,"immobilise, immobilize, freeze, block",prohibit the conversion or use of (assets),Blocked funds; Freeze the assets of this hostile government,جَمَّدَ,يمنع المالك من التصرف في ماله أو تحويله أو تداوله خارج دائرة قضائية بحكم من المحكمة,يتم تجميد الأصول أحياناً لأسباب جزائية 
271360,"mend, heal",heal or recover,My broken leg is mending,شُفِيَ,يتعافى ويعود سليماً بعد علة أصابته,تشفى الجروح تدريجياً
271625,"stabilize, stabilise",make stable and keep from fluctuating or put into an equilibrium,The drug stabilized her blood pressure; stabilize prices,"رَسَّخَ, وَازَنَ, ثَبَّتَ",يجعل الشيء مستقراً ثابتاً ومتوازناً بعيداً عن التقلبات والتغيرات,ترسخت الأسعار. ساعد الدواء في موازنة ضغط الدم. سياسة الطفل الواحد في الصين ثبّتت عدد السكان. 
272510,"destabilize, destabilise",make unstable,Terrorism destabilized the government,زَعْزَعَ,يجعله غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,الاقتصاد السيء يسبب زعزعة العملة
272745,"stabilize, stabilise",become stable or more stable,The economy stabilized,"إسْتَقَرَّ, ثَبَتَ",يصبح مستقراً ثابتاً ومتوازناً بعيداً عن التقلبات والتغيرات ,استقر سعر الصرف عند سعر ثابت.  ثبت الوضع على ما هو لفترة طويلة. 
272976,"destabilize, destabilise",become unstable,The economy destabilized rapidly,تَزَعْزَعَ,يصبح غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,يتزعزع الاقتصاد بسبب زيادة الواردات
274244,"habituate, accustom",make psychologically or physically used (to something),She became habituated to the background music,عَوَّدَ,يجعله نفسياً وجسدياً يتعود على شيء ويألفه,عوّد نفسه على شرب القهوة صباحاً.
274533,teach,accustom gradually to some action or attitude,The child is taught to obey her parents,عَلَّمَ,يتعود تدريجياً على بعض الأفعال أو المواقف,علّمه والده ألا يعود متأخراً إلى المنزل. تعلمت في العمل استقبال جميع الناس بوجه بشوش
274762,"corrode, rust","become destroyed by water, air, or an etching chemical such as an acid",The metal corroded; The pipes rusted,تَآكَلَ,"يتلف ويتخرب بفعل الرطوبة، الهواء،أو أي مادة كيميائية مخرشة كالأحماض",تآكل المعدن بشكل لا يمكن إصلاحه. يجب عزل الأسطح بمادة مقاومة للصدأ حتى لا تتآكل
275082,"corrode, eat, rust","cause to deteriorate due to the action of water, air, or an acid",The acid corroded the metal; The steady dripping of water rusted the metal stopper in the sink,أَكَلَ,"يسبب التلف والضرر بفعل الرطوبة، الهواء، أو الحمض",أكل الحمض سطح الرخام. أكلت مياه المطر الأنابيب
276406,"regularize, regularise",make regular or more regular,regularize the heart beat with a pace maker,نَظَّمَ,يغير النظام أو الوضع بحيث يمكن التحكم فيه من خلال قواعد وقوانين رسمية,سيساعد الاتفاق في تنظيم التجارة بين البلدين. يجب أن تتناول الدواء بانتظام لتنظيم ضغط الدم
276642,"clean up, tidy, tidy up, straighten out, square away, neaten, straighten",put (things or places) in order,Tidy up your room!,رَتَّبَ,يضع الأشياء في مكانها الصحيح بشكل منظم وأنيق, رتب غرفتك التي تملؤها الفوضى. سأرتب مكتبي فالأوراق مبعثرة في كل مكان
276867,"make, make up",put in order or neaten,make the bed; make up a room,رَتَّبَ,يضع الأشياء بشكل مرتب وأنيق,سأرتب الصحون على الطاولة. رتب سريرك 
277013,"mess up, mess",make a mess of or create disorder in,He messed up his room,أَفْسَدَ,يجعل المكان فوضوياً غير مرتب ويبعثر الأشياء ,أفسد الأطفال الغرفة وهم يلعبون. أحدث فوضى في المطبخ عندما طبخ الطعام
277172,"disarray, disorder",bring disorder to,,شَوَّشَ,يتسبب بإزعاج وارتباك,تم التشويش على أفراد الجيش مما سبب تراجعه. 
278429,order,bring order to or into,Order these files,رَتَّبَ,يضع مجموعة من الناس أو الأشياء بالترتيب من الأول إلى الأخير أو حسب نظام معين,رتّب الطفل الأرقام من الأكبر إلى الأصغر
281690,"lighten, lighten up",become lighter,The room lightened up,"أَضَاءَ, أَنَارَ",يصبح أوضح  وأكثر إنارة ,أنارت الطرقات في الظلام. أضاء القمر في السماء
281861,"color, discolour, discolor, colour","change color, often in an undesired manner",The shirts discolored,GAP,يتسبب في تغيير اللون الأصلي للمادة بشكل غير مرغوب فيه,غيرت حرارة الشمس ألوان الثياب السوداء
292635,"light, illume, illuminate, light up, illumine",make lighter or brighter,This lamp lightens the room a bit,"أَضَاءَ, أَنَارَ",يضفي النور والسطوع على شيء ما ويجعله أكثر وضوحاً,أضاءت الشمس الغرفة. أنارت الأعمدة الكهربائية الشوارع
293903,"fancify, beautify, embellish, prettify",make more beautiful,,"زَيَّنَ, جَمَّلَ",يجعل الشيء جميلاً أو أجمل بإضافة زينة أو زخرفة إليه. ,قصص الأطفال مزينة بالرسومات. يجمّل الغرفة بالبوالين احتفالاً بالمناسبة القادمة
295007,"flower, bloom, blossom",produce or yield flowers,The cherry tree bloomed,"أزْهَرَ, تَفَتَّح",تظهر الزهور  وتصل إلى مرحلة النمو الكامل والتفتح,يزهر شجر البرتقال في أوائل الشتاء. يتفتح الزهر في الربيع
296344,untune,cause to be out of tune,Don't untune that string!,أَفْسَدَ,يجعله غير متناغم أو غير مضبوط ,لا تقم بإفساد ضبط هذا الوتر
296959,"adjust, set, correct",alter or regulate so as to achieve accuracy or conform to a standard,"Adjust the clock, please; correct the alignment of the front wheels","ضَبَطَ, عَيَّرَ",يغير وينظم حتى يصل إلى الدقة التي تتوافق مع المعيار المطلوب,يضبط الساعة. يعيّر ارتفاع الكرسي حتى يناسبه.
298687,time,regulate or set the time of,time the clock,ضَبَطَ,يعيد وضع التوقيت الصحيح على الساعة,"ساعتك متأخرة خمس دقائق، عليك ضبطها"
300361,"adapt, accommodate","make fit for, or change to suit a new purpose",Adapt our native cuisine to the available food resources of the new country,كَيَّفَ,"يصبح متلائماً مع شيء ما، أو يتغير ليتأقلم مع الوضع الراهن",علينا التكيف مع المحيط في بلاد الغربة
303656,"temper, harden",harden by reheating and cooling in oil,temper steel,قَوَّى,يقسي (المعدن أو الزجاج) بتسخينه ثم تبريده في الزيت ليصل إلى الصلابة المطلوبة,زجاج مقسى
306798,"burst, explode","burst outward, usually with noise",The champagne bottle exploded,اِنْفَجَرَ,يتطاير  وينبعث ما بداخله بسرعة وعنف  بسبب الضغط الشديد محدثاً صوتاً عالياً,انفجر إطار السيارة من شدة السرعة. انفجر يصرخ غاضباً
307505,"explode, blow up, detonate, set off",cause to burst with a violent release of energy,We exploded the nuclear bomb,فَجَّرَ,يتسبب بانفجار عنيف يصاحبه إطلاق الحرارة والطاقة,قام الإرهابيون بتفجير قنبلة في المبنى
308201,dynamite,blow up with dynamite,The rock was dynamited,GAP,يستخدم الديناميت في إحداث التفجيرات,نسفو السد بالديناميت
308350,"extravasate, erupt, belch",become active and spew forth lava and rocks,Vesuvius erupts once in a while,قَذَفَ,يصبح نشطاً ويقذف الحمم والصخور,يقذف البركان الحمم والنار. 
309316,hydrogenate,combine or treat with or expose to hydrogen; add hydrogen to the molecule of (an unsaturated organic compound),,هَدْرَجَ,تتحد أو تعالج أو تتعرض للهيدروجين من خلال إضافة الهيدروجين إلى جزيء مركب عضوي غير مشبع في تفاعل كيميائي بهدف زيادة درجة التشبع,تتحول الزيوت السائلة إلى دهون صلبة بعملية الهدرجة
310092,"split, break open, burst",break open or apart suddenly,The bubble burst,اِنْفَجَرَ,ينفتح فجأة وبعنف كما لو كان من ضغط داخلي,انفجرت الفقاعة. 
311168,"flourish, prosper, thrive, expand, get ahead, boom",grow stronger,The economy was booming,"إِزْدَهَرَ, اِنْتَعَشَ",ينمو ويتطور بنجاح ويصبح أقوى,يزدهر الاقتصاد. تنتعش التجارة. 
311417,proliferate,grow rapidly,Pizza parlors proliferate in this area,تَكَاثَرَ,يتضاعف عدداً بشكل مفاجئ وسريع,تتكاثر المطاعم في هذه المنطقة بسرعة كبيرة
313162,darken,become dark or darker,The sky darkened,"أظْلَمَ, عَتَّمَ",يزول عنه النور ويصبح معتماً أو أكثر ظلاماً,غابت الشمس وأظلمت السماء. أطفأت النور وعتّمت الغرفة كي أنام
317569,shorten,make shorter than originally intended; reduce or retrench in length or duration,He shortened his trip due to illness,قَصَّرَ,"يجعله أقصر مما هو في الأصل، يقلل ويختصر من الطول أو المدة",البنطال طويل ويحتاج إلى تقصير. الطريق الجديد قصر المسافة بين المكانين
318501,lengthen,make longer,"Lengthen this skirt, please","مَدَّدَ, طَوَّلَ",يجعله أطول مما هو في الأصل بزيادة إضافية عليه,أطال الخطاب حتى شعر الناس بالملل.  طولت الفستان بإضافة الدانتيل أسفله
318689,"prolong, protract, extend, draw out",lengthen in time; cause to be or last longer,We prolonged our stay; She extended her visit by another day; The meeting was drawn out until midnight,"مَدَّدَ, أطَالََ",يجعله يدوم فترة زمنية أطول,مدد إجازته يومين آخرين. أطال مدة الاجتماع حتى المساء
319617,"elongate, stretch",make long or longer by pulling and stretching,stretch the fabric,"مَدَّدَ, مَطَّ",يجعله أطول بعملية الشد أو السحب أو المد,مدد العضلات. مطت السترة القطنية بعد الغسيل
320687,bake,cook and make edible by putting in a hot oven,bake the potatoes,  يخبز,يطبخ الطعام بالحرارة الجافة دون التعرض المباشر للهب داخل الفرن,يخبز الكعكة في الفرن
321337,fire,bake in a kiln so as to harden,fire pottery,شَوَى,يسخن الأشياء المصنوعة من الطين في فرن خاص حتى تتصلب,يشوي الفخار 
322952,"crispen, toast, crisp",make brown and crisp by heating,toast bread; crisp potatoes,حَمَّصَ,يجعله هشاً ومقرمشاً وبني اللون بالتسخين,يحمص الخبز. يحمص المكسرات
323648,cook,transform and make suitable for consumption by heating,These potatoes have to cook for 20 minutes,"طَبَخَ, طَهَى",يجعل الطعام صالحاً للأكل والاستهلاك باستخدام الحرارة,يمكننا الطبخ بطريقة القلي والسلق والشوي. تطهو أمي طعاماً لذيذاً
324178,cook,transform by heating,The apothecary cooked the medicinal mixture in a big iron kettle,طَبَخَ,يحضر المواد ( خاصة الأدوية ) بالتسخين,طبخ المزيج الطبي على نار هادئة
326129,fry,cook on a hot surface using fat,fry the pancakes,قَلَى,يطبخ في مقلاة باستخدام الزيت أو الدهن الساخن,يقلي البيض. يقلي البطاطا
327574,grill,cook over a grill,grill the sausages,شَوْي,"يطهو الطعام على النار أو الفحم الساخن، عادة على إطار معدني",أحب اللحم المشوي على الفحم
331892,"mash, comminute, grind, crunch, bray",reduce to small pieces or particles by pounding or abrading,grind the spices in a mortar; mash the garlic, سَحَق ,يهرس الطعام إلى كتلة ناعمة أو جزيئات صغيرة بالسحق او الضغط,سحق الثوم. سحق البطاطا إلى معجون
332827,mill,grind with a mill,mill grain,طَحَنَ,يحول المواد إلى جزيئات ناعمة باستخدام المطحنة,يطحن البن. يطحن القمح ليصبح دقيق
334996,"separate, break, split up, come apart, fall apart",become separated into pieces or fragments,The figurine broke; The freshly baked loaf fell apart,"تَفَتَّتَ, إِنْهَارَ",ينفصل ويتفكك إلى أجزاء,تفتت الصاروخ في وسط الهواء. أمسك الآلة برفق حتى لا تتفتت إلى أجزاء. بدأ السقف ينهار بسبب المطر الغزير. 
335806,break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,He broke the glass plate; She broke the match,كَسَرَ,"يحطم أو يخرب شيئاً كاملاً بالعنف، يسبب في فصله إلى قطع وأجزاء",أوقع الكأس الزجاجي أرضاً وكسره. أخيراً تحدّث أحدهم وكسر الصمت
338881,"fragment, fragmentize, fragmentise, break up",break or cause to break into pieces,The plate fragmented," تجزأ ،  جزّأ ",يقسم أو ينقسم إلى قطع وأجزاء ,تجزأ يومه بين الاجتماعات والمكالمات الهاتفية
340744,"hap, come about, go on, pass off, occur, take place, pass, happen, fall out",come to pass,What is happening?; The meeting took place off without an incidence; Nothing occurred that seemed important,"حَدَثَ, وَقَعَ, حَصَلَ",يصبح موجوداً أو يأتي للوجود بسبب حالة أو فعل أو حدث,ماذا حدث اليوم؟ لا أعلم كيف وقع ذلك. لا يمكن توقع ما سيحصل في الساعات القادمة. 
342215,"proceed, go",follow a certain course,The inauguration went well; how did your interview go?,  سار ,يجري على وتيرة معينة,سارت هذه المرحلة بشكل جيد. سارت الانتخابات على ما يرام
342572,come,"come to pass; arrive, as in due course",The first success came three days later; It came as a shock; Dawn comes early in June,"حَضَرَ, قَدِم, أتى",يتغير حتى يصبح في موقع أو وضع مختلف,حضر الحفل كثير من المقربين. ألم يقدم صديقك بعد؟ يأتي النجاح بعد الجهد والتعب. 
343295,anticipate,be a forerunner of or occur earlier than,This composition anticipates Impressionism,سبق,يكون سابقاّ أو يحدث في وقت أبكر,يسبق فنجان القهوة وجبة الإفطار
343988,"repeat, recur",happen or occur again,This is a recurring story,تَكَرَّرَ,يحصل مرات عديدة أو يحصل مرة أخرى,أرجو ألا يتكرر هذا التصرف ثانية. غيابك تكرر كثيراً
344828,"materialize, happen, materialise",come into being; become reality,Her dream really materialized,تَحَقَّقَ,أصبح شيئاً ملموساً وواقعاً في الحقيقة,حقق وعده بالزواج منها. طموحها بأن تصبح طبيبة تحقق أخيراً
345297,"befall, happen, bechance","happen, occur, or be the case in the course of events or by chance","It happens that today is my birthday; These things befell"" (Santayana)","حَدَثَ, وَقَعَ",يحصل لشيء أو شخص وخاصة اذا كان قدراً أو صدفة,تحدث المآسي في مسرحيات شكسبير. وقعت كثير من الكوارث الطبيعية على هذه المنطقة
346415,"begin, start out, start, set about, get down, commence, get, set out",take the first step or steps in carrying out an action,We began working at dawn; Who will start?; Get working as soon as the sun rises!; The first tourists began to arrive in Cambodia; He began early in the day; Let's get down to work now,"شَرَعَ, بَدَأَ",يأخذ الخطوة الأولى في تنفيذ العمل,ابدأ اللعب أنت أولاً. سنشرع في البناء منتصف هذا العام
349400,"begin, lead off, start, commence","set in motion, cause to start",The U.S. started a war in the Middle East; The Iraqis began hostilities; begin a new chapter in your life,"شَرَعَ, بَدَأَ",يتسبب في البدء شيء , يشرع في الدخول في مشروع جديد. بدأت حياتي المهنية كمساعد إداري في الشركة. 
350758,"restart, re-start, resume",take up or begin anew,We resumed the negotiations,اِسْتَأنَفَ,يبدأ من جديد من حيث توقف,استأنف الدرس بعد الاستراحة
351115,"hang in, persist, hang on, hold on, persevere","be persistent, refuse to stop",he persisted to call me every night; The child persisted and kept asking questions,اِسْتَمَرَّ,يكون مصرّاً على الاستمرار ويرفض التوقف والاستسلام رغم المعارضة أو الصعوبة,استمر بالاطمئنان علي طوال فترة مرضي
353480,"terminate, end",bring to an end or halt,She ended their friendship when she found out that he had once been convicted of a crime; The attack on Poland terminated the relatively peaceful period after WW I,أَنْهَى,يوقف شيئاً وينهيه تماماً. ,أنهى عقده في الوظيفة.
354493,abort,terminate before completion,abort the mission; abort the process running on my computer,"أَجْهَضَ, أَوْقَفَ",يضع حداً للشيء وينهيه قبل أن يكتمل,أُجهضت كل محاولات الصلح بينهما. يجب أن نوقف هذا المشروع التافه. اضطررنا لوقف الاختبار بسبب مشاكل تقنية
356178,kill,tire out completely,The daily stress of her work is killing her,قَتَلَ,يتعب ويتسبب بجهد مضاعف وصعوبة بالغة,ضغط العمل يكاد يقتلني
356912,change surface,undergo or cause to undergo a change in the surface,,GAP,يتغير أو يُغيٍر شكل السطح,
358789,root,take root and begin to grow,this plant roots quickly,تَجَذَّرَ,تُشكل الجذور ثم تبدأ في النمو,تجذرت الشجرة في الأرض وأصبح من الصعب اقتلاعها
359085,"give-up the ghost, kick the bucket, snuff it, drop dead, pass away, conk, go, expire, cash in one's chips, perish, pop off, croak, decease, pass, die, exit, buy the farm, choke",pass from physical life and lose all bodily attributes and functions necessary to sustain life,She died from cancer; They children perished in the fire; The patient went peacefully; The old guy kicked the bucket at the age of 102,"رَحَلَ, مَاتَ",يتوقف عن الحياة الجسدية ويفقد جميع الخصائص والوظائف اللازمة للبقاء على قيد الحياة وينتهي وجوده في الدنيا,رحل عن عمر يناهز الثمانين. مات بسبب المرض
360745,"leave behind, leave",be survived by after one's death,"He left six children; At her death, she left behind her husband and 11 cats",ترك,يترك وراءه أشخاصاً أحياء بعد مماته,ترك وراءه زوجة وطفلاً. .
361154,drown,"die from being submerged in water, getting water into the lungs, and asphyxiating",The child drowned in the lake,غَرِقَ,يموت بسبب كونه مغموراً في الماء وغير قادر على التنفس فيدخل الماء في الرئتين ويختنق,غرق العديد من الحيوانات في الفيضان
361585,be born,come into existence through birth,She was born on a farm,وُلِدَ,يأتي إلى الوجود بالخروج من رحم والدته ويبدأ الحياة,ولدت في مثل هذا اليوم منذ عشرين عاماً
363001,"break, discontinue, stop, break off",prevent completion,stop the project; break off the negotiations,"قَطَعَ, أَوْقَفَ",يمنع الاستمرار في الشيء وينهيه,قطع كلامه. أوقف العمل للاستراحة
363763,"drop, knock off",stop pursuing or acting,drop a lawsuit; knock it off!,"كَفَّ عَن, تَوَقَّفَ",يتوقف عن المتابعة ,كفّ عن ذلك. توقفت عن العمل باكراً اليوم
364717,"break, interrupt",terminate,She interrupted her pregnancy; break a lucky streak; break the cycle of poverty,  قطع ,يوقف شيئاً لم يكتمل ويمنعه من التقدم والاستمرار,أوقف العمل في البناء حتى إشعار آخر.  قطعت دراستها وسافرت
366463,"sublime, sublimate",vaporize and then condense right back again,,  يتسامى ,يحول المادة إلى بخار دون مرورها بالحالة السائلة ثم يعيد تكثيفها ثانية,يمكن أن تتسامى بعض المواد الصلبة تحت ضغط منخفض أو في الفراغ
367511,"vaporize, vaporise, evaporate",lose or cause to lose liquid by vaporization leaving a more concentrated residue,evaporate milk,"تَبَخَّرَ, بَخَّرَ",يفقد (أو يتسبب في فقدان) المادة للسائل عند تحوله إلى غاز بالتسخين تاركاً وراءه مادة مركزة,تبخّر الماء حتى جف. يُبخّر عصير الفواكه
369847,"federate, federalise, federalize",unite on a federal basis or band together as a league,The country was federated after the civil war,وَحَّدَ,يضم في اتحاد او حلف ( حكومة أو منظمة أكبر ),توحدت البلاد بعد الحرب الأهلية. وحدت تعاونيات الصيد المحلية بعضها لتشكل مؤسسة وطنية
370517,"cool down, cool, chill",loose heat,The air cooled considerably after the thunderstorm,"بَرَدَ, بَرُدَ",يفقد الحرارة ويصبح أبرد,برَدت أجسادنا بعد السباحة. اشرب المزيد من الماء لتبرّد جسمك صيفاً
371065,"cool down, cool, chill",make cool or cooler,Chill the food,بَرْد,يجعله بارداً أو أبرد,تُبرّد الغرفة بالمراوح أو بالتكييف
371704,refrigerate,cool or chill in or as if in a refrigerator,refrigerate this medicine,بَرَّدَ,يجعله بارداً بوضعه في البراد,برّد الدجاج حتى لا يفسد
371917,"heat up, heat",make hot or hotter,the sun heats the oceans; heat the water on the stove,"حَمَّى, سَخَّنَ",يجعله ساخناً أو أكثر سخونة,تسخّن الشمس ماء البحر. يحمّى الزيت في المقلاة
372608,refrigerate,preserve by chilling,many foods must be refrigerated or else they will spoil,حَفِظَ,يحفظ المواد أو الطعام بتبريدها في البراد أو الثلاجة,يجب حفظ بعض الأدوية في البراد. 
373611,warm,make warm or warmer,The blanket will warm you,  يدفئ ,يجعله أكثر حرارة ودفئاً,ستقوم المدفأة بتدفئة الغرفة
373903,"warm up, warm",get warm or warmer,The soup warmed slowly on the stove,سَخَنَ,يصبح أكثر حرارة,سخن الماء ببطء على النار
374419,"burn, cauterize, cauterise","burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent",The surgeon cauterized the wart,كَوى,"يحرق الأنسجة باستخدام الحرارة أو مادة كيميائية، لمنع النزيف أو إزالة الخلايا الضارة",الحل الأفضل لنزيف الأنف هو الكي
374806,freeze,change to ice,The water in the bowl froze,"جَمَدَ, تَجَمَّدَ",يتحول إلى جليد,تجمد الطعام في الثلاجة. جمد الماء من شدة البرد
375339,boil,"bring to, or maintain at, the boiling point",boil this liquid until it evaporates,غَلَى,يجعله أو يبقيه عند نقطة الغليان, يجب أن تغلي الماء قبل إعطائه لطفل صغير
375692,boil,come to the boiling point and change from a liquid to vapor,Water boils at 100 degrees Celsius,غَلَى,يجعل أو يصل إلى درجة حرارة حيث يتحول السائل إلى غاز ,يغلي الماء عند حرارة مئة مئوية.
376536,freeze,cause to freeze,Freeze the leftover food,جَمَّدَ,يبرّد حتى يصبح صلباً,يمكن حفظ اللحم المجمد في الثلاجة حتى ثلاثة أشهر
376777,"melt, thaw, dethaw, unthaw, dissolve, unfreeze",become or cause to become soft or liquid,The sun melted the ice; the ice thawed; the ice cream melted; The heat melted the wax; The giant iceberg dissolved over the years during the global warming phase; dethaw the meat,أذابَ,يتغير أو يغيّر من الحالة الصلبة إلى السائلة بزيادة الحرارة,أذابت الشمس الثلوج على الجبال. ذاب الجليد عن اللحم. أذابت النار الشمعة
377673,"burn, combust",undergo combustion,Maple wood burns well,"إحْتَرَق, اِشْتَعَلَ",تأتي عليه النار فيشتعل ويصبح لهباً,يحترق الخشب حتى نتدفأ به. اشتعلت إطارات السيارات في منتصف الشارع
378713,"burn, incinerate",cause to undergo combustion,burn garbage; The car burns only Diesel oil,أحْرَقَ,يسبب الاحتراق ,أحرق المشاغبون جزءاً من الغابة. 
382272,"transform, metamorphose, transmute",change in outward structure or looks,He transformed into a monster; The salesman metamorphosed into an ugly beetle,"حَوَّلَ, مَسَخَ",يغيّر أو يتغير في البنية أو الشكل الخارجي بشكل مختلف تماماً,في أفلام الخيال العلمي يتحول الناس إلى حشرات عملاقة. اعتقد البعض قديماً أن الإنسان مُسِخ إلى قرد
383306,"transform, transmute, transubstantiate","change or alter in form, appearance, or nature",This experience transformed her completely; She transformed the clay into a beautiful sculpture; transubstantiate one element into another,"غَيَّرَ,  أحَالَ, حَوَّلَ",يغير في شكل الشيء أو طبيعته,التجارب التي مرت بها غيرتها تماماً. الأمطار الحمضية أحالت بنية الصخر الكلسية إلى مواد منحلة في الماء. بمرور الوقت تحولت المخيمات إلى بلدات إسرائيلية
384213,"transform, translate",change from one form or medium into another,Braque translated collage into oil,حَوَّلَ,التغيير من شكل أو وسيط إلى آخر,حوّل منطقة النهر إلى مجمع تسوق ورياضة
387981,"regress, revert, retrovert, turn back, return",go back to a previous state,We reverted to the old rules,"رَجَعَ, عَادَ, إِرْتَدَّ, عَاوَدَ",يعود إلى الحالة السابقة التي كان عليها من عادات وممارسات ومعتقدات وما شابه,رجعوا إلى طريق آبائهم. عادت إلى عاداتها السيئة. ارتد عن الطريق الصحيح. عاود نشاطه الذي توقف فترة
389306,"desolate, devastate, ravage, lay waste to, waste, scourge",devastate or ravage,The enemy lay waste to the countryside after the invasion," دَمَّرَ, خَرَّبَ",يتسبب بضرر كبير لشيء أو شخص وبشكل عنيف,دمر الزلزال المكان كله. خرّب الإعصار المنازل
390309,"drain, debilitate, enfeeble",make weak,Life in the camp drained him,"أوْهَنَ, أضْعَفَ, اِسْتَنْزَفَ",يجعل شيئاً أو شخصاً ما ضعيفاً,أوهنه المرض. أضعفه الجوع. استنزف التفكير السلبي طاقته
394236,"drop, flatten",lower the pitch of (musical notes),,خَفَّضَ,يخفض الطبقة الموسيقية بنصف نغمة واحدة,
395719,"combine, coalesce, meld, conflate, immix, commingle, fuse, blend, merge, flux, mix",mix together different elements,The colors blend well,"خَلَطَ, دَمَجَ, مَزَجَ",يجعل الأشياء كتلة واحدة بوضعها سوياً,خلط الحليب بالعسل. دمجت ألوان الظل . مزج المكونات جيداً
398311,"crumble, fall apart",break or fall apart into fragments,The cookies crumbled; The Sphinx is crumbling,"تَفَتَّتَ, تَكَسَّرَ",يتكسر إلى قطع صغيرة,تفتت الكعك في يد الصغير. تكسر الجدار المتداعي
398482,disintegrate,break into parts or components or lose cohesion or unity,The material disintegrated; the group disintegrated after the leader died,تفكك,يصبح أضعف ويفقد تماسكه أو يتدمر بالانقسام إلى قطع صغيرة ( أو يجعله كذلك ),تفككت الإمبراطورية إلى ولايات صغيرة. 
401007,"demagnetise, demagnetize, degauss",make nonmagnetic; take away the magnetic properties (of),demagnetize the iron shavings; they degaussed the ship,GAP,إزالة الخصائص المغناطيسية من المادة,من طرق إزالة المغناطيسية التسخين
405549,"organize, coordinate, organise",bring order and organization to,Can you help me organize my files?,نَظَّمَ,يرتب الأشياء في مكانها المناسب,سأرتب ملفاتي على سطح المكتب
407168,"set, prepare, set up, gear up, fix, ready","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",Get the children ready for school!; prepare for war; I was fixing to leave town after I paid the hotel bill,"أَعَدَّ, جَهَّزَ",يحضّر الأمور مسبقاً لغرض أو حدث معين,سأعد الغداء. جهز نفسك لاستقبال الضيوف
408071,cram,prepare (students) hastily for an impending exam,,اِنْكَبَّ,إعداد ( الطلاب ) بتدريسهم بشكل مكثف  على عجل لامتحان وشيك,"لم يتبق غير يومين، يجب أن أنكبّ على تحضير ابني جيداً للامتحان"
413217,"naturalise, naturalize",make into a citizen,The French family was naturalized last year,"جَنَّسَ, تَجَنَّسَ",يجعله مواطناً شرعياً في البلد التي لم يولد فيها,ليس كل المقيمين الدائمين مؤهلين للتجنس
414357,immigrate,come into a new country and change residency,Many people immigrated at the beginning of the 20th century,"هَاجَرَ, اِغْتَرَبَ",يأتي للعيش بشكل دائم في بلد ليست بلده,كثير من الناس هاجروا بلادهم عندما اندلعت الحرب. لم يكن لديه خيار سوى أن يغترب ليحسّن دخله
414801,"settle, locate",take up residence and become established,The immigrants settled in the Midwest,"أَقَامَ, اِسْتَقَرَّ",يتخذ مكاناً للعيش ويبقى فيه بشكل دائم,"بعد زواجهما، أقاما في فيرجينيا. استقر المهاجرون في تلك الجزيرة منذ مئتي عام"
415099,"colonize, colonise",settle as colonists or establish a colony (in),The British colonized the East Coast,اِسْتَعْمَرَ,يسيطر ( على شعب أو منطقة ) تصبح مستعمرة له وتكون امتداداً لسلطته,استعمرت أسبانيا الفلبين والمكسيك لمدة 300 عام
415969,settle,form a community,The Swedes settled in Minnesota,اِسْتَقَرَّ,يهاجر ويستقر في مكان ما مشكّلاً مستعمرة أو مجتمعاً له,استقر اليهود في فلسطين
416156,homestead,settle land given by the government and occupy it as a homestead,,سَكَّنَ,يقيم في أرض منحته إياها الحكومة كمنزل بديل وليعمل على زراعتها,سكّنته الحكومة الأمريكية في منزل على أن يزرع الأرض حوله
