Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
267472,"polymerise, polymerize",cause (a compound) to polymerize,,بَلْمَرَ,يجعل المادة تخضع صناعياً للبلمرة بعملية ارتباط الجزيئات الصغيرة ببعضها لتكوين مادة أخرة, المطاط والبلاستيك والألياف الكيماوية مواد صناعية تمت بلمرتها,,,,بَلْمَرَ
267684,"ionize, ionise",convert into ions,,أيَّنَ,يحول إلى أيونات سواء بالذوبان أو الشحن أو التفريغ الكهربائي ,"من أمثلة التأيين ذوبان الملح في الماء، أو الغاز تحت تأثير الأشعة",,,,أيَّنَ
270309,"immobilise, immobilize, freeze, block",prohibit the conversion or use of (assets),Blocked funds; Freeze the assets of this hostile government,"جَمَّدَ, [حَجَزَ]",يمنع المالك من التصرف في ماله أو تحويله أو تداوله خارج دائرة قضائية بحكم من المحكمة,يتم تجميد الأصول أحياناً لأسباب جزائية , حَجَزَ ,,,جَمَّدَ
271360,"mend, heal",heal or recover,My broken leg is mending,"[اِلْتَئَمَ], شُفِيَ, [نَدِبَ]",يتعافى ويعود سليماً بعد علة أصابته,تشفى الجروح تدريجياً," اِلْتَئَمَ ,  نَدِبَ ",,,شُفِيَ
271625,"stabilize, stabilise",make stable and keep from fluctuating or put into an equilibrium,The drug stabilized her blood pressure; stabilize prices,"رَسَّخَ, وَازَنَ, ثَبَّتَ",يجعل الشيء مستقراً ثابتاً ومتوازناً بعيداً عن التقلبات والتغيرات,ترسخت الأسعار. ساعد الدواء في موازنة ضغط الدم. سياسة الطفل الواحد في الصين ثبّتت عدد السكان. ,,,,"رَسَّخَ, وَازَنَ, ثَبَّتَ"
272510,"destabilize, destabilise",make unstable,Terrorism destabilized the government,"[قَلَبَ], زَعْزَعَ",يجعله غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,الاقتصاد السيء يسبب زعزعة العملة, قَلَبَ ,,,زَعْزَعَ
272745,"stabilize, stabilise",become stable or more stable,The economy stabilized,"[تَوَازَنَ], إسْتَقَرَّ, ثَبَتَ, [رَسَخَ]",يصبح مستقراً ثابتاً ومتوازناً بعيداً عن التقلبات والتغيرات ,استقر سعر الصرف عند سعر ثابت.  ثبت الوضع على ما هو لفترة طويلة. ," تَوَازَنَ ,  رَسَخَ ",,,"إسْتَقَرَّ, ثَبَتَ"
272976,"destabilize, destabilise",become unstable,The economy destabilized rapidly,"[فَقَدَ الاِسْتِقْرَار], تَزَعْزَعَ",يصبح غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,يتزعزع الاقتصاد بسبب زيادة الواردات, فَقَدَ الاِسْتِقْرَار ,,,تَزَعْزَعَ
274244,"habituate, accustom",make psychologically or physically used (to something),She became habituated to the background music,"[أقْلَم], [رَوَّضَ], عَوَّدَ",يجعله نفسياً وجسدياً يتعود على شيء ويألفه,عوّد نفسه على شرب القهوة صباحاً.," أقْلَم ,  رَوَّضَ ",,,عَوَّدَ
274533,teach,accustom gradually to some action or attitude,The child is taught to obey her parents,عَلَّمَ,يتعود تدريجياً على بعض الأفعال أو المواقف,علّمه والده ألا يعود متأخراً إلى المنزل. تعلمت في العمل استقبال جميع الناس بوجه بشوش,,,,عَلَّمَ
274762,"corrode, rust","become destroyed by water, air, or an etching chemical such as an acid",The metal corroded; The pipes rusted,"[اِئْتَكَلَ], تَآكَلَ,[ صَدِئَ]","يتلف ويتخرب بفعل الرطوبة، الهواء،أو أي مادة كيميائية مخرشة كالأحماض",تآكل المعدن بشكل لا يمكن إصلاحه. يجب عزل الأسطح بمادة مقاومة للصدأ حتى لا تتآكل," اِئْتَكَلَ ,   صَدِئَ ",,,تَآكَلَ
275082,"corrode, eat, rust","cause to deteriorate due to the action of water, air, or an acid",The acid corroded the metal; The steady dripping of water rusted the metal stopper in the sink,"[حَتَّ],[ أَصْدَأَ], أَكَلَ","يسبب التلف والضرر بفعل الرطوبة، الهواء، أو الحمض",أكل الحمض سطح الرخام. أكلت مياه المطر الأنابيب," حَتَّ ,  أَصْدَأَ ",,,أَكَلَ
276406,"regularize, regularise",make regular or more regular,regularize the heart beat with a pace maker,نَظَّمَ,يغير النظام أو الوضع بحيث يمكن التحكم فيه من خلال قواعد وقوانين رسمية,سيساعد الاتفاق في تنظيم التجارة بين البلدين. يجب أن تتناول الدواء بانتظام لتنظيم ضغط الدم,,,,نَظَّمَ
276642,"clean up, tidy, tidy up, straighten out, square away, neaten, straighten",put (things or places) in order,Tidy up your room!,"[عَدَّلَ],[ نَظَّفَ], رَتَّبَ",يضع الأشياء في مكانها الصحيح بشكل منظم وأنيق, رتب غرفتك التي تملؤها الفوضى. سأرتب مكتبي فالأوراق مبعثرة في كل مكان," عَدَّلَ ,  نَظَّفَ ",,,رَتَّبَ
276867,"make, make up",put in order or neaten,make the bed; make up a room,"رَتَّبَ,[ نَظَّفَ]",يضع الأشياء بشكل مرتب وأنيق,سأرتب الصحون على الطاولة. رتب سريرك ,  نَظَّفَ ,,,رَتَّبَ
277013,"mess up, mess",make a mess of or create disorder in,He messed up his room,"أَفْسَدَ,[ وَسَّخَ]",يجعل المكان فوضوياً غير مرتب ويبعثر الأشياء ,أفسد الأطفال الغرفة وهم يلعبون. أحدث فوضى في المطبخ عندما طبخ الطعام,  وَسَّخَ ,,أحدث فوضى,أَفْسَدَ
277172,"disarray, disorder",bring disorder to,,"[أزْعَجَ], [عَكَّرَ], [بَلْبَلَ], شَوَّشَ",يتسبب بإزعاج وارتباك,تم التشويش على أفراد الجيش مما سبب تراجعه. ," أزْعَجَ ,  عَكَّرَ ,  بَلْبَلَ ",,,شَوَّشَ
278429,order,bring order to or into,Order these files,"[نَظَّم], رَتَّبَ",يضع مجموعة من الناس أو الأشياء بالترتيب من الأول إلى الأخير أو حسب نظام معين,رتّب الطفل الأرقام من الأكبر إلى الأصغر, نَظَّم ,,,رَتَّبَ
281690,"lighten, lighten up",become lighter,The room lightened up,"أَضَاءَ, أَنَارَ",يصبح أوضح  وأكثر إنارة ,أنارت الطرقات في الظلام. أضاء القمر في السماء,,,,"أَضَاءَ, أَنَارَ"
281861,"color, discolour, discolor, colour","change color, often in an undesired manner",The shirts discolored,Gap,يتسبب في تغيير اللون الأصلي للمادة بشكل غير مرغوب فيه,غيرت حرارة الشمس ألوان الثياب السوداء,,,غَيَّرَ اللَّوْن,GAP
292635,"light, illume, illuminate, light up, illumine",make lighter or brighter,This lamp lightens the room a bit,"أَضَاءَ, أَنَارَ",يضفي النور والسطوع على شيء ما ويجعله أكثر وضوحاً,أضاءت الشمس الغرفة. أنارت الأعمدة الكهربائية الشوارع,,,,"أَضَاءَ, أَنَارَ"
293903,"fancify, beautify, embellish, prettify",make more beautiful,,"زَيَّنَ, جَمَّلَ",يجعل الشيء جميلاً أو أجمل بإضافة زينة أو زخرفة إليه. ,قصص الأطفال مزينة بالرسومات. يجمّل الغرفة بالبوالين احتفالاً بالمناسبة القادمة,,,,"زَيَّنَ, جَمَّلَ"
295007,"flower, bloom, blossom",produce or yield flowers,The cherry tree bloomed,"أزْهَرَ,[ نَوَّرَ ], تَفَتَّح",تظهر الزهور  وتصل إلى مرحلة النمو الكامل والتفتح,يزهر شجر البرتقال في أوائل الشتاء. يتفتح الزهر في الربيع,  نَوَّرَ  ,,,"أزْهَرَ, تَفَتَّح"
296344,untune,cause to be out of tune,Don't untune that string!,"[شَوَّشَ], أَفْسَدَ",يجعله غير متناغم أو غير مضبوط ,لا تقم بإفساد ضبط هذا الوتر, شَوَّشَ ,,,أَفْسَدَ
296959,"adjust, set, correct",alter or regulate so as to achieve accuracy or conform to a standard,"Adjust the clock, please; correct the alignment of the front wheels","ضَبَطَ, عَيَّرَ, [صَحَّحَ]",يغير وينظم حتى يصل إلى الدقة التي تتوافق مع المعيار المطلوب,يضبط الساعة. يعيّر ارتفاع الكرسي حتى يناسبه., صَحَّحَ ,,,"ضَبَطَ, عَيَّرَ"
298687,time,regulate or set the time of,time the clock,ضَبَطَ,يعيد وضع التوقيت الصحيح على الساعة,"ساعتك متأخرة خمس دقائق، عليك ضبطها",,,,ضَبَطَ
300361,"adapt, accommodate","make fit for, or change to suit a new purpose",Adapt our native cuisine to the available food resources of the new country,كَيَّفَ,"يصبح متلائماً مع شيء ما، أو يتغير ليتأقلم مع الوضع الراهن",علينا التكيف مع المحيط في بلاد الغربة,,,,كَيَّفَ
303656,"temper, harden",harden by reheating and cooling in oil,temper steel,قَوَّى,يقسي (المعدن أو الزجاج) بتسخينه ثم تبريده في الزيت ليصل إلى الصلابة المطلوبة,زجاج مقسى,,,,قَوَّى
306798,"burst, explode","burst outward, usually with noise",The champagne bottle exploded,"اِنْفَجَرَ,[ تَفَجَّرَ], [تَفَرْقَعَ]",يتطاير  وينبعث ما بداخله بسرعة وعنف  بسبب الضغط الشديد محدثاً صوتاً عالياً,انفجر إطار السيارة من شدة السرعة. انفجر يصرخ غاضباً,"  تَفَجَّرَ ,  تَفَرْقَعَ ",,,اِنْفَجَرَ
307505,"explode, blow up, detonate, set off",cause to burst with a violent release of energy,We exploded the nuclear bomb,"فَجَّرَ,[ نَسَفَ]",يتسبب بانفجار عنيف يصاحبه إطلاق الحرارة والطاقة,قام الإرهابيون بتفجير قنبلة في المبنى,  نَسَفَ ,,,فَجَّرَ
308201,dynamite,blow up with dynamite,The rock was dynamited,GAP,يستخدم الديناميت في إحداث التفجيرات,نسفو السد بالديناميت,,,نَسَفَ بِالدِينَامِيت,GAP
308350,"extravasate, erupt, belch",become active and spew forth lava and rocks,Vesuvius erupts once in a while,"[نَفَثَ], قَذَفَ, [ثَارَ]",يصبح نشطاً ويقذف الحمم والصخور,يقذف البركان الحمم والنار. ," نَفَثَ ,  ثَارَ ",,,قَذَفَ
309316,hydrogenate,combine or treat with or expose to hydrogen; add hydrogen to the molecule of (an unsaturated organic compound),,"[عَالَجَ بالهَيْدرُوجين], هَدْرَجَ",تتحد أو تعالج أو تتعرض للهيدروجين من خلال إضافة الهيدروجين إلى جزيء مركب عضوي غير مشبع في تفاعل كيميائي بهدف زيادة درجة التشبع,تتحول الزيوت السائلة إلى دهون صلبة بعملية الهدرجة, عَالَجَ بالهَيْدرُوجين ,,,هَدْرَجَ
310092,"split, break open, burst",break open or apart suddenly,The bubble burst,"[اِنْشَقَّ], اِنْفَجَرَ, [تَفَجَّرَ]",ينفتح فجأة وبعنف كما لو كان من ضغط داخلي,انفجرت الفقاعة. ," اِنْشَقَّ ,  تَفَجَّرَ ",,,اِنْفَجَرَ
311168,"flourish, prosper, thrive, expand, get ahead, boom",grow stronger,The economy was booming,"إِزْدَهَرَ, اِنْتَعَشَ, [تَقَدَّمَ]",ينمو ويتطور بنجاح ويصبح أقوى,يزدهر الاقتصاد. تنتعش التجارة. ,  تَقَدَّمَ ,,,"إِزْدَهَرَ, اِنْتَعَشَ"
311417,proliferate,grow rapidly,Pizza parlors proliferate in this area,تَكَاثَرَ,يتضاعف عدداً بشكل مفاجئ وسريع,تتكاثر المطاعم في هذه المنطقة بسرعة كبيرة,,,,تَكَاثَرَ
313162,darken,become dark or darker,The sky darkened,"أظْلَمَ, عَتَّمَ,[ قَتَمَ],[ دَكِنَ]",يزول عنه النور ويصبح معتماً أو أكثر ظلاماً,غابت الشمس وأظلمت السماء. أطفأت النور وعتّمت الغرفة كي أنام,"  قَتَمَ ,  دَكِنَ ",,,"أظْلَمَ, عَتَّمَ"
317569,shorten,make shorter than originally intended; reduce or retrench in length or duration,He shortened his trip due to illness,قَصَّرَ,"يجعله أقصر مما هو في الأصل، يقلل ويختصر من الطول أو المدة",البنطال طويل ويحتاج إلى تقصير. الطريق الجديد قصر المسافة بين المكانين,,,,قَصَّرَ
318501,lengthen,make longer,"Lengthen this skirt, please","مَدَّدَ, طَوَّلَ",يجعله أطول مما هو في الأصل بزيادة إضافية عليه,أطال الخطاب حتى شعر الناس بالملل.  طولت الفستان بإضافة الدانتيل أسفله,,,,"مَدَّدَ, طَوَّلَ"
318689,"prolong, protract, extend, draw out",lengthen in time; cause to be or last longer,We prolonged our stay; She extended her visit by another day; The meeting was drawn out until midnight,"مَدَّدَ, أطَالََ",يجعله يدوم فترة زمنية أطول,مدد إجازته يومين آخرين. أطال مدة الاجتماع حتى المساء,,,,"مَدَّدَ, أطَالََ"
319617,"elongate, stretch",make long or longer by pulling and stretching,stretch the fabric,"مَدَّدَ, مَطَّ, [مَدَّ], [بَسَطَ],[ شَدَّ]",يجعله أطول بعملية الشد أو السحب أو المد,مدد العضلات. مطت السترة القطنية بعد الغسيل," مَدَّ ,  بَسَطَ ,  شَدَّ ",,,"مَدَّدَ, مَطَّ"
320687,bake,cook and make edible by putting in a hot oven,bake the potatoes,"[حَمَّصَ]، ( يخبز)",يطبخ الطعام بالحرارة الجافة دون التعرض المباشر للهب داخل الفرن,يخبز الكعكة في الفرن, حَمَّصَ ,   يخبز ,,  يخبز
321337,fire,bake in a kiln so as to harden,fire pottery,"شَوَى, [خَبَزَ]",يسخن الأشياء المصنوعة من الطين في فرن خاص حتى تتصلب,يشوي الفخار , خَبَزَ ,,,شَوَى
322952,"crispen, toast, crisp",make brown and crisp by heating,toast bread; crisp potatoes,"حَمَّصَ, [حَمَّرَ]",يجعله هشاً ومقرمشاً وبني اللون بالتسخين,يحمص الخبز. يحمص المكسرات, حَمَّرَ ,,,حَمَّصَ
323648,cook,transform and make suitable for consumption by heating,These potatoes have to cook for 20 minutes,"طَبَخَ, طَهَى",يجعل الطعام صالحاً للأكل والاستهلاك باستخدام الحرارة,يمكننا الطبخ بطريقة القلي والسلق والشوي. تطهو أمي طعاماً لذيذاً,,,,"طَبَخَ, طَهَى"
324178,cook,transform by heating,The apothecary cooked the medicinal mixture in a big iron kettle,طَبَخَ,يحضر المواد ( خاصة الأدوية ) بالتسخين,طبخ المزيج الطبي على نار هادئة,,,,طَبَخَ
326129,fry,cook on a hot surface using fat,fry the pancakes,قَلَى,يطبخ في مقلاة باستخدام الزيت أو الدهن الساخن,يقلي البيض. يقلي البطاطا,,,,قَلَى
327574,grill,cook over a grill,grill the sausages,شَوْي,"يطهو الطعام على النار أو الفحم الساخن، عادة على إطار معدني",أحب اللحم المشوي على الفحم,,,,شَوْي
331892,"mash, comminute, grind, crunch, bray",reduce to small pieces or particles by pounding or abrading,grind the spices in a mortar; mash the garlic,"[طَحَنَ]، ( سَحَق )",يهرس الطعام إلى كتلة ناعمة أو جزيئات صغيرة بالسحق او الضغط,سحق الثوم. سحق البطاطا إلى معجون, طَحَنَ ,  سَحَق  ,, سَحَق 
332827,mill,grind with a mill,mill grain,طَحَنَ,يحول المواد إلى جزيئات ناعمة باستخدام المطحنة,يطحن البن. يطحن القمح ليصبح دقيق,,,,طَحَنَ
334996,"separate, break, split up, come apart, fall apart",become separated into pieces or fragments,The figurine broke; The freshly baked loaf fell apart,"تَفَتَّتَ,[ تَكَسَّرَ], إِنْهَارَ,[ تَقَطَّعَ], [اِنْكَسَرَ]",ينفصل ويتفكك إلى أجزاء,تفتت الصاروخ في وسط الهواء. أمسك الآلة برفق حتى لا تتفتت إلى أجزاء. بدأ السقف ينهار بسبب المطر الغزير. ,"  تَكَسَّرَ ,   تَقَطَّعَ ,  اِنْكَسَرَ ",,,"تَفَتَّتَ, إِنْهَارَ"
335806,break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,He broke the glass plate; She broke the match,كَسَرَ,"يحطم أو يخرب شيئاً كاملاً بالعنف، يسبب في فصله إلى قطع وأجزاء",أوقع الكأس الزجاجي أرضاً وكسره. أخيراً تحدّث أحدهم وكسر الصمت,,,,كَسَرَ
338881,"fragment, fragmentize, fragmentise, break up",break or cause to break into pieces,The plate fragmented,"[اِنْكَسَرَ], [تَكَسَّرَ]، ( تجزأ) ، ( جزّأ )",يقسم أو ينقسم إلى قطع وأجزاء ,تجزأ يومه بين الاجتماعات والمكالمات الهاتفية," اِنْكَسَرَ ,  تَكَسَّرَ ","  تجزأ  ،   جزّأ  ",," تجزأ ،  جزّأ "
340744,"hap, come about, go on, pass off, occur, take place, pass, happen, fall out",come to pass,What is happening?; The meeting took place off without an incidence; Nothing occurred that seemed important,"حَدَثَ, وَقَعَ, حَصَلَ, [جَدَّ], [جَرَى],[ دارَ]",يصبح موجوداً أو يأتي للوجود بسبب حالة أو فعل أو حدث,ماذا حدث اليوم؟ لا أعلم كيف وقع ذلك. لا يمكن توقع ما سيحصل في الساعات القادمة. ,"  جَدَّ ,  جَرَى ,  دارَ ",,,"حَدَثَ, وَقَعَ, حَصَلَ"
342215,"proceed, go",follow a certain course,The inauguration went well; how did your interview go?,"[مَرَّ]، ( سار )",يجري على وتيرة معينة,سارت هذه المرحلة بشكل جيد. سارت الانتخابات على ما يرام, مَرَّ ,   سار  ,,  سار 
342572,come,"come to pass; arrive, as in due course",The first success came three days later; It came as a shock; Dawn comes early in June,"حَضَرَ, قَدِم, أتى, [جَاءَ]",يتغير حتى يصبح في موقع أو وضع مختلف,حضر الحفل كثير من المقربين. ألم يقدم صديقك بعد؟ يأتي النجاح بعد الجهد والتعب. , جَاءَ ,,,"حَضَرَ, قَدِم, أتى"
343295,anticipate,be a forerunner of or occur earlier than,This composition anticipates Impressionism,سبق,يكون سابقاّ أو يحدث في وقت أبكر,يسبق فنجان القهوة وجبة الإفطار,,,,سبق
343988,"repeat, recur",happen or occur again,This is a recurring story,"[رَجَعَ], تَكَرَّرَ,[ عَادَ]",يحصل مرات عديدة أو يحصل مرة أخرى,أرجو ألا يتكرر هذا التصرف ثانية. غيابك تكرر كثيراً," رَجَعَ ,   عَادَ ",,,تَكَرَّرَ
344828,"materialize, happen, materialise",come into being; become reality,Her dream really materialized,"[حَدَثَ], تَحَقَّقَ",أصبح شيئاً ملموساً وواقعاً في الحقيقة,حقق وعده بالزواج منها. طموحها بأن تصبح طبيبة تحقق أخيراً, حَدَثَ ,,,تَحَقَّقَ
345297,"befall, happen, bechance","happen, occur, or be the case in the course of events or by chance","It happens that today is my birthday; These things befell"" (Santayana)","حَدَثَ, وَقَعَ",يحصل لشيء أو شخص وخاصة اذا كان قدراً أو صدفة,تحدث المآسي في مسرحيات شكسبير. وقعت كثير من الكوارث الطبيعية على هذه المنطقة,,,,"حَدَثَ, وَقَعَ"
346415,"begin, start out, start, set about, get down, commence, get, set out",take the first step or steps in carrying out an action,We began working at dawn; Who will start?; Get working as soon as the sun rises!; The first tourists began to arrive in Cambodia; He began early in the day; Let's get down to work now,"شَرَعَ, بَدَأَ",يأخذ الخطوة الأولى في تنفيذ العمل,ابدأ اللعب أنت أولاً. سنشرع في البناء منتصف هذا العام,,,,"شَرَعَ, بَدَأَ"
349400,"begin, lead off, start, commence","set in motion, cause to start",The U.S. started a war in the Middle East; The Iraqis began hostilities; begin a new chapter in your life,"شَرَعَ, بَدَأَ,[ بَادَرَ], [اِبْتَدَأَ]",يتسبب في البدء شيء , يشرع في الدخول في مشروع جديد. بدأت حياتي المهنية كمساعد إداري في الشركة. ,"  بَادَرَ ,  اِبْتَدَأَ ",,,"شَرَعَ, بَدَأَ"
350758,"restart, re-start, resume",take up or begin anew,We resumed the negotiations,اِسْتَأنَفَ,يبدأ من جديد من حيث توقف,استأنف الدرس بعد الاستراحة,,,,اِسْتَأنَفَ
351115,"hang in, persist, hang on, hold on, persevere","be persistent, refuse to stop",he persisted to call me every night; The child persisted and kept asking questions,"[دَأََبَ], اِسْتَمَرَّ,[ ثَابَرَ],[ وَاظَبَ]",يكون مصرّاً على الاستمرار ويرفض التوقف والاستسلام رغم المعارضة أو الصعوبة,استمر بالاطمئنان علي طوال فترة مرضي," دَأَبَ ,   ثَابَرَ ,  وَاظَبَ ",,,اِسْتَمَرَّ
353480,"terminate, end",bring to an end or halt,She ended their friendship when she found out that he had once been convicted of a crime; The attack on Poland terminated the relatively peaceful period after WW I,"[وَضَعَ نِهَايَةلـِ], أَنْهَى,[ وَضَع حَدَّاً لـِ]",يوقف شيئاً وينهيه تماماً. ,أنهى عقده في الوظيفة.," وَضَعَ نِهَايَةلـِ ,   وَضَع حَدَّاً لـِ ",,,أَنْهَى
354493,abort,terminate before completion,abort the mission; abort the process running on my computer,"أَجْهَضَ, أَوْقَفَ, [أَخْفَقَ]",يضع حداً للشيء وينهيه قبل أن يكتمل,أُجهضت كل محاولات الصلح بينهما. يجب أن نوقف هذا المشروع التافه. اضطررنا لوقف الاختبار بسبب مشاكل تقنية, أَخْفَقَ ,,,"أَجْهَضَ, أَوْقَفَ"
356178,kill,tire out completely,The daily stress of her work is killing her,قَتَلَ,يتعب ويتسبب بجهد مضاعف وصعوبة بالغة,ضغط العمل يكاد يقتلني,,,,قَتَلَ
356912,change surface,undergo or cause to undergo a change in the surface,,Gap,يتغير أو يُغيٍر شكل السطح,,,,غَيَّرَ السَطْح,GAP
358789,root,take root and begin to grow,this plant roots quickly,تَجَذَّرَ,تُشكل الجذور ثم تبدأ في النمو,تجذرت الشجرة في الأرض وأصبح من الصعب اقتلاعها,,,,تَجَذَّرَ
359085,"give-up the ghost, kick the bucket, snuff it, drop dead, pass away, conk, go, expire, cash in one's chips, perish, pop off, croak, decease, pass, die, exit, buy the farm, choke",pass from physical life and lose all bodily attributes and functions necessary to sustain life,She died from cancer; They children perished in the fire; The patient went peacefully; The old guy kicked the bucket at the age of 102,"[إِنْتَهَى],[ اِنْتَقَلَ إلى الرَّفِيق الأَعْلَى],[ لَفَظَ النَّفَسَ الأخِير], رَحَلَ, [فَنِيَ],[ سَلَّمَ الرُّوح], [خَرَجَ], [هَلَكَ], مَاتَ,[ خَرَجَ من الدُّنْيَا]",يتوقف عن الحياة الجسدية ويفقد جميع الخصائص والوظائف اللازمة للبقاء على قيد الحياة وينتهي وجوده في الدنيا,رحل عن عمر يناهز الثمانين. مات بسبب المرض," إِنْتَهَى ,  اِنْتَقَلَ إلى الرَّفِيق الأَعْلَى ,  لَفَظَ النَّفَسَ الأخِير ,  فَنِيَ ,  سَلَّمَ الرُّوح ,  خَرَجَ ,  هَلَكَ ,   خَرَجَ من الدُّنْيَا ",,,"رَحَلَ, مَاتَ"
360745,"leave behind, leave",be survived by after one's death,"He left six children; At her death, she left behind her husband and 11 cats","ترك,[ خَلَّفَ]",يترك وراءه أشخاصاً أحياء بعد مماته,ترك وراءه زوجة وطفلاً. .,  خَلَّفَ ,,,ترك
361154,drown,"die from being submerged in water, getting water into the lungs, and asphyxiating",The child drowned in the lake,غَرِقَ,يموت بسبب كونه مغموراً في الماء وغير قادر على التنفس فيدخل الماء في الرئتين ويختنق,غرق العديد من الحيوانات في الفيضان,,,,غَرِقَ
361585,be born,come into existence through birth,She was born on a farm,وُلِدَ,يأتي إلى الوجود بالخروج من رحم والدته ويبدأ الحياة,ولدت في مثل هذا اليوم منذ عشرين عاماً,,,,وُلِدَ
363001,"break, discontinue, stop, break off",prevent completion,stop the project; break off the negotiations,"قَطَعَ, أَوْقَفَ",يمنع الاستمرار في الشيء وينهيه,قطع كلامه. أوقف العمل للاستراحة,,,,"قَطَعَ, أَوْقَفَ"
363763,"drop, knock off",stop pursuing or acting,drop a lawsuit; knock it off!,"[أَوْقَفَ], [تَرَكَ], كَفَّ عَن, تَوَقَّفَ",يتوقف عن المتابعة ,كفّ عن ذلك. توقفت عن العمل باكراً اليوم," أَوْقَفَ ,  تَرَكَ ",,,"كَفَّ عَن, تَوَقَّفَ"
364717,"break, interrupt",terminate,She interrupted her pregnancy; break a lucky streak; break the cycle of poverty,"[أعَاقَ], أوْقَفَ, [اِعْتَرَضَ], [قَاطَعَ]، ( قطع )",يوقف شيئاً لم يكتمل ويمنعه من التقدم والاستمرار,أوقف العمل في البناء حتى إشعار آخر.  قطعت دراستها وسافرت," أعَاقَ , أوْقَفَ,  اِعْتَرَضَ ,  قَاطَعَ ",,,  قطع 
366463,"sublime, sublimate",vaporize and then condense right back again,,"[صَعَّدَ]، ( يتسامى )",يحول المادة إلى بخار دون مرورها بالحالة السائلة ثم يعيد تكثيفها ثانية,يمكن أن تتسامى بعض المواد الصلبة تحت ضغط منخفض أو في الفراغ, صَعَّدَ ,   يتسامى  ,,  يتسامى 
367511,"vaporize, vaporise, evaporate",lose or cause to lose liquid by vaporization leaving a more concentrated residue,evaporate milk,"تَبَخَّرَ, بَخَّرَ",يفقد (أو يتسبب في فقدان) المادة للسائل عند تحوله إلى غاز بالتسخين تاركاً وراءه مادة مركزة,تبخّر الماء حتى جف. يُبخّر عصير الفواكه,,,,"تَبَخَّرَ, بَخَّرَ"
369847,"federate, federalise, federalize",unite on a federal basis or band together as a league,The country was federated after the civil war,"وَحَّدَ,[ فَدْرَلَ],[ وَحَّدَ في تحالف]",يضم في اتحاد او حلف ( حكومة أو منظمة أكبر ),توحدت البلاد بعد الحرب الأهلية. وحدت تعاونيات الصيد المحلية بعضها لتشكل مؤسسة وطنية,"  فَدْرَلَ ,  وَحَّدَ في تحالف ",,,وَحَّدَ
370517,"cool down, cool, chill",loose heat,The air cooled considerably after the thunderstorm,"بَرَدَ, بَرُدَ",يفقد الحرارة ويصبح أبرد,برَدت أجسادنا بعد السباحة. اشرب المزيد من الماء لتبرّد جسمك صيفاً,,,,"بَرَدَ, بَرُدَ"
371065,"cool down, cool, chill",make cool or cooler,Chill the food,بَرْد,يجعله بارداً أو أبرد,تُبرّد الغرفة بالمراوح أو بالتكييف,,,,بَرْد
371704,refrigerate,cool or chill in or as if in a refrigerator,refrigerate this medicine,بَرَّدَ,يجعله بارداً بوضعه في البراد,برّد الدجاج حتى لا يفسد,,,,بَرَّدَ
371917,"heat up, heat",make hot or hotter,the sun heats the oceans; heat the water on the stove,"حَمَّى,[ أحْمَى], سَخَّنَ",يجعله ساخناً أو أكثر سخونة,تسخّن الشمس ماء البحر. يحمّى الزيت في المقلاة,  أحْمَى ,,,"حَمَّى, سَخَّنَ"
372608,refrigerate,preserve by chilling,many foods must be refrigerated or else they will spoil,حَفِظَ,يحفظ المواد أو الطعام بتبريدها في البراد أو الثلاجة,يجب حفظ بعض الأدوية في البراد. ,,,,حَفِظَ
373611,warm,make warm or warmer,The blanket will warm you,"[حَمَّى], [سَخَّنَ]، ( يدفئ )",يجعله أكثر حرارة ودفئاً,ستقوم المدفأة بتدفئة الغرفة," حَمَّى ,  سَخَّنَ ",   يدفئ  ,,  يدفئ 
373903,"warm up, warm",get warm or warmer,The soup warmed slowly on the stove,"سَخَنَ, [سَخُنَ], [حَمِيَ]",يصبح أكثر حرارة,سخن الماء ببطء على النار," سَخُنَ ,  حَمِيَ ",,,سَخَنَ
374419,"burn, cauterize, cauterise","burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent",The surgeon cauterized the wart,"[حَرَقَ], كَوى","يحرق الأنسجة باستخدام الحرارة أو مادة كيميائية، لمنع النزيف أو إزالة الخلايا الضارة",الحل الأفضل لنزيف الأنف هو الكي, حَرَقَ ,,,كَوى
374806,freeze,change to ice,The water in the bowl froze,"[جَلِدَ], جَمَدَ,[ تَجَلَّدَ], تَجَمَّدَ",يتحول إلى جليد,تجمد الطعام في الثلاجة. جمد الماء من شدة البرد," جَلِدَ ,   تَجَلَّدَ ",,,"جَمَدَ, تَجَمَّدَ"
375339,boil,"bring to, or maintain at, the boiling point",boil this liquid until it evaporates,غَلَى,يجعله أو يبقيه عند نقطة الغليان, يجب أن تغلي الماء قبل إعطائه لطفل صغير,,,,غَلَى
375692,boil,come to the boiling point and change from a liquid to vapor,Water boils at 100 degrees Celsius,غَلَى,يجعل أو يصل إلى درجة حرارة حيث يتحول السائل إلى غاز ,يغلي الماء عند حرارة مئة مئوية.,,,,غَلَى
