PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
374871,strengthening,the act of increasing the strength of something,," تَعْظِيم, تَبْجِيل",عملية المبالغة في رفع قيمة شيء ما كالثروة أو المظاهر أو القوة أو نطاق شيء ما,تعظيم دور الأمهات. تبجيل المعلمين,
375032,intensification,action that makes something stronger or more extreme,,تَقْوِيَة,عملية دعم وزيادة القوة,تساعد القراءة على تقوية القدرات الذهنية واللغوية لدى الطفل,
375643,"exacerbation, aggravation",action that makes a problem or a disease (or its symptoms) worse,the aggravation of her condition resulted from lack of care,تَعْزِيز,"تكثيف، تقوية ودعم أمر ما",يجب تعزيز ثقة الطفل بنفسه.,
376871,change of integrity,the act of changing the unity or wholeness of something,,تأزم,الفعل الذي يسبب تفاقم مشكلة أو مرض ما(أو أعراضه) وازدياد الأمر سوءاً,تأزم الوضع الصحي بسبب إهمال التعليمات,
377208,"breaking, breakage, break",the act of breaking something,the breakage was unavoidable,تَغْيِير الوحدة,عملية إحداث تغييرات على ظاهر الوحدة المتكاملة عن طريق الفصل أو الكسر أو تغيير اللون ونحوه,نسمي عملية تقسيم قالب الحلوى بتغيير الوحدة,
378172,"burst, explosion",the act of exploding or bursting something,the explosion of the firecrackers awoke the children; the burst of an atom bomb creates enormous radiation aloft,"كَسْر, تَحْطِيم",عملية تهديم وتخريب,تراكم الصحون تسبب في كسرها. تسببت الكرة في تحطيم زجاج السيارة,
379793,"combining, combination, compounding",the act of combining things to form a new whole,, تَفْجِير,"عملية التسبب في التفجير الذي يعرف بزيادة مفاجئة في الحجم مصحوبة بانطلاق كمية كبيرة من الطاقة بصورة بالغة الشدة، عادة مع تولد حرارة مرتفعة وانطلاق غازات",تسبب تفجير السيارة المفخخة بمقتل الكثيرين,
380230,"attachment, affixation",the act of attaching or affixing something,, دَمْج,ضم شيئين أو أكثر للحصول على كل جديد ,يجب دمج جميع الأجزاء بعناية وتناغم للحصول على التصميم الكلي,
380891,"commixture, admixture, mix, mixing, mixture, intermixture",the act of mixing together,paste made by a mix of flour and water; the mixing of sound channels in the recording studio,إرفاق,إضافة وإرداف شيء ما إلى شيء آخر,تم إرفاق التقارير الطبية المطلوبة بطلب الإجازة المرضية,
382488,"union, unification, uniting, conjugation, jointure",the act of making or becoming a single unit,the union of opposing factions; he looked forward to the unification of his family for the holidays," خَلِيط, مَزِيج",عملية ضم ومزج الأشياء مع بعضها البعض, يساعد خليط العسل والليمون على طرد السموم من الجسم.   نخلط جميع المكونات إلى أن نحصل على مزيج متجانس ,
384198,opening,becoming open or being made open,the opening of his arms was the sign I was waiting for, اِتِّحَاد,عملية اجتماع الأشياء في وحدة لا تتجزأ,في الاتحاد قوة وفي التفرق ضعفٌ وهزيمة,
384414,separation,the act of dividing or disconnecting,,افْتِتَاح,الإعلان عن بدء شيء ما كمشروع أو فعالية ونحوه,افتتاح المشروع الجديد,
385741,"secession, withdrawal",formal separation from an alliance or federation,, فَصْل,عملية فك الارتباط بين ما كان متصلاً.,فصل مكونات الماء يمكن أن يتم عن طريق الترسيب أو الترشيح إلخ,
386599,division,the act or process of dividing,,اِنْشِقاق,الانفصال الرسمي عن تحالف أو اتحاد,أعلن أربعون ضابطاً رسمياً انشقاقهم عن التحالف الوطني,
388465,"cut, cutting",the act of penetrating or opening open with a sharp edge,his cut in the lining revealed the hidden jewels,تَقْسِيم,عملية تجزئة مجموعة إلى فئات أو أقسام,تقسيم عالم النبات إلى فصائل وشعب.,
391714,"detachment, disengagement",the act of releasing from an attachment or connection,,شَقّ,عملية اختراق شيء ما أو فتحه بأداة حادة,يمكن الحصول على عينة إجراء شق صغير في الجلد,
392407,"removal, remotion",the act of removing,he had surgery for the removal of a malignancy,"عَزْل, فَصْل",عملية إبعاد شيء عن شيء آخر وقطع الصلة أو الارتباط بينهما,فصل مجموعات الجنود. عزل الوحدات عن بعضها,
393758,extraction,the act of pulling out (as a tooth),the dentist gave her a local anesthetic prior to the extraction,إِزَالَة,عملية إلغاء وحذف شيء ما,إزالة العوائق من الطرقات. ,
394177,"cutting out, ablation, excision, extirpation",surgical removal of a body part or tissue,,خَلْع,عملية قلع أو سحب شي ما للخارج (كخلع السّن) ,خلع الأضراس. خلع الباب للسرقة,
395418,deletion,the act of deleting something written or printed,, اِسْتِئصَال,الإزالة الجراحية لجزء من الجسد أو نسيج منه,استئصال الزائدة. استئصال الورم,
396141,"elimination, riddance",the act of removing or getting rid of something,, حَذْف,عملية محو وإزالة شيء مكتوب أو مطبوع ,سيؤدي خيار إعادة ضبط المصنع إلى حذف جميع البيانات الموجودة على هاتفك,
397317,disinvestment,the withdrawal of capital from a country or corporation,, إِزَالَة,عملية محو شيء ما والتخلص منه,تمت إزالة الأعضاء غير الفعالين في المجموعة,
398568,"expunction, expunging, erasure",deletion by an act of expunging or erasing,,سَحْب رَأْس الْمَال,سحب رأس المال من بلد أو شركة,يمكنك في نهاية الفترة المتفق عليها سحب رأس المال مع الفائدة المستحقة,
398761,"division, partition, segmentation, sectionalization, partitioning, sectionalisation",the act of dividing or partitioning; separation by the creation of a boundary that divides or keeps apart,, شَطْب,حذف وإزالة شيء ما بشكل كامل,تم شطب أسماء العديد من المتقدمين للمشاركة في المعرض لعدم استيفائهم الشروط,
399512,"transformation, translation",the act of changing in form or shape or appearance,a photograph is a translation of a scene onto a two-dimensional surface,تَقْسِيم,عملية تجزئة الشيء بإقامة حدود تقسم بين أجزائه تفصلها عن بعضها,تقسيم الدولة إلى عدة محافظات يسهل إدارتها,
403900,"damage, harm, scathe, hurt",the act of damaging something or someone,,تَحْوِيل,عملية تبديل الشكل أو الصيغة أو المظهر إلى شيء آخر.,يمكنك تحويل العملات في حسابك إلكترونياً,
404604,"wounding, wound",the act of inflicting a wound,,إضرار,عملية إلحاق الأذى بشخص ما أو شيء ما,وضع ما يمنع مرور الناس أو يسبب الحوادث يعتبر إضراراً بهم,
405224,change of shape,an action that changes the shape of something,,جَرْح,عملية التسبب بإصابة أو أذية في الجسد,تسببت الآلة الحادة بجرح الطفل ونزيف يده,
406027,bending,the act of bending something,,تَغْيِير شَكْل,فعل تعديل شكل شيء ما,يحدث تغيير في شكل المعجون عند الضغط عليه,
408356,activity,any specific behavior,they avoided all recreational activity,ثَنْي,عملية حني شيء ما,ثني قضبان الحديد بالحرارة,
410304,operation,a planned activity involving many people performing various actions,they organized a rescue operation; the biggest police operation in French history; running a restaurant is quite an operation; consolidate the companies various operations,نَشَاط,أي سلوك محدد,يجب مراقبة الأطفال باستمرار وإبعادهم عن الأنشطة الخطرة,
411260,"practice, pattern",a customary way of operation or behavior,it is their practice to give annual raises; they changed their dietary pattern,عَمَلِيَّة,نشاط مخطط يشمل العديد من الأشخاص الذين يقومون بأعمال مختلفة,استمر رجال الدفاع المدني بعمليات الإنقاذ للمتضررين من الزلزال,
412397,cooperation,the practice of cooperating,economic cooperation; they agreed on a policy of cooperation, نَمَط,الطريقة المألوفة لعمل أو سلوك,أكمل الرسم على نفس النمط,
414252,"usage, custom, usance",accepted or habitual practice,,تَعَاوُن,ممارسة المساعدة والمشاركة لإنجاز عمل ما,من الضروري التعاون بين أفراد الأسرة لإنجاز المهام,
415192,"habit, use, wont",a pattern of behavior acquired through frequent repetition,she had a habit twirling the ends of her hair; long use had hardened him to it, عُرْف,مجموعة من القواعد والمفاهيم المتفق عليها اجتماعياً أو المقبولة لدى العامة,يؤثر العرف الاجتماعي على كثير من السلوكيات لدى الناس,
416455,"slavery, slaveholding",the practice of owning slaves,,عَادَة,نمط سلوكي روتيني مكتسب من خلال تكرار لفعل شيء ما,من المفيد أن تبقى عادة المشي ثابتة يومياً,
416689,"way, path, way of life",a course of conduct,the path of virtue; we went our separate ways; our paths in life led us apart; genius usually follows a revolutionary path,"عُبُودِيَّة, رِقّ",حالة امتلاك إنسان لإنسان آخر,كانت العبودية متفشية في الحضارات القديمة. رق الأطفال,
419038,mistreatment,the practice of treating (someone or something) badly,he should be punished for his mistreatment of his mother,"مَسْلَك,منهج حياة",الطريقة أو الأسلوب الذي يتبعه الشخص خلال حياته, كان مسلكه قويماً . علينا اتباع منهج الفضيلة في حياتنا.,
419916,"victimisation, exploitation, victimization, using",an act that exploits or victimizes someone (treats them unfairly),capitalistic exploitation of the working class; paying Blacks less and charging them more is a form of victimization,سوء المعاملة,الاعتداء على شخص أو مخلوق ما ومعاملته بالسوء ,"من أشكال سوء المعاملة: الجسدي، النفسي، الإهمال والتحرش",
420921,"abuse, maltreatment, ill-usage, ill-treatment",cruel or inhumane treatment,, اِسْتِغْلال,عملية الاستفادة من الأشياء أو الأشخاص دون وجه حق من خلال الخداع.,"من أشكال الاستغلال: استغلال الأطفال في العمالة، استغلال الأزمات لرفع الأسعار واستغلال النساء",
421490,persecution,the act of persecuting (especially on the basis of race or religion),,"إِسَاءَة,مُعامَلَة سَيْئَة",المعاملة القاسية أو اللاإنسانية,يجب احترام المسنين وعدم الإساءة لهم.  المعاملة السيئة للأطفال تسبب أمراضاً نفسية,
425602,"inhuman treatment, cruelty",a cruel act; a deliberate infliction of pain and suffering,, اِضْطِهَاد,عماية إساءة المعاملة لفرد أو مجموعة بسبب العرق أو الدين ,تتعرض الأقليات الدينية في بعض البلدان للاضطهاد,
425770,"atrocity, inhumanity",an act of atrocious cruelty,, وَحْشِيَّة,"عمل وحشي ،التسبب المتعمد بالألم الشديد والمعاناة للغير",تم تعرضهم لاعتداءات وحشية عند اعتقالهم,
427529,colonialism,exploitation by a stronger country of weaker one; the use of the weaker country's resources to strengthen and enrich the stronger country,,عَمَل وَحْشِي,عمل لا إنساني يتسم بالقسوة والعنف الشديدين,أدانت الأمم المتحدة العمل الوحشي الذي استهدف الأطفال وفتك بهم,
427931,"diversion, recreation",an activity that diverts or amuses or stimulates,scuba diving is provided as a diversion for tourists; for recreation he wrote poetry and solved crossword puzzles; drug abuse is often regarded as a form of recreation,اِسْتِعْمَار,سيطرة دولة قوية على دولة ضعيفة واستغلال مواردها لتعزيز وإثراء نفوذها ,يهدف الاستعمار إلى السيطرة على جميع الحدود الجغرافية للبلد المُستَعمر,
428583,"caper, antic, joke, trick, prank, put-on",a ludicrous or grotesque act done for fun and amusement,,"إسْتِجْمَام, تَسْلِيَة",أي نشاط ترفيهي يسمح للأشخاص بقضاء وقت ممتع,"كان بحاجة ماسة للاستجمام بعد شهر كامل من العمل المتعب ، يفضل البعض مشاهدة الأفلام المضحكة كنوع من التسلية",
428985,"celebration, festivity",any joyous diversion,,مقلب,خدعة أو حيلة يدبرها شخص تجاه آخر بغاية الضحك والتسلية,معظم مقالب الكاميرا الخفية أصبحت سخيفة ومن شأنها إيذاء الناس للضحك عليهم,
429255,"dancing, dance, terpsichore, saltation",taking a series of rhythmical steps (and movements) in time to music,,احْتِفَال,اجتماع على فرح وتسلية,تقام الاحتفالات بمناسبة الأعياد,
430033,"entertainment, amusement",an activity that is diverting and that holds the attention,,رَقْص,تأدية حركات أو خطوات على إيقاع موسيقي للتعبير عن شعور أو معنى ما,قام الزوجان بالرقص على أغنيتهما المفضلة,
430425,"escapism, escape",an inclination to retreat from unpleasant realities through diversion or fantasy,romantic novels were her escape from the stress of daily life; his alcohol problem was a form of escapism," تَرْفِيه, تَسْلِيَة",أي نشاط يجذب الانتباه و يمنح المتعة للأشخاص في أوقات فراغهم, هل فكرت في القفز المظلي كتجربة ترفيه؟ يشاهد البعض مباريات كرة القدم كنوع من التسلية ,
430934,"merriment, fun, playfulness",activities that are enjoyable or amusing,I do it for the fun of it; he is fun to have around,الهروب من الواقع,الانسحاب وتجنب مواجهة الحقائق غير السارة بالتسلية أو الخيال,يعتبر الإدمان على الانترنت أحد أشكال الهروب من الواقع ,
431125,"gaming, play, gambling",the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize),his gambling cost him a fortune; there was heavy play at the blackjack table, مَرَح,أنشطة تجلب المتعة والتسلية,لا بد من بعض المرح والتسلية لكسر الروتين ,
431591,game,an amusement or pastime,they played word games; he thought of his painting as a game that filled his empty time; his life was all fun and games, قِمَار,عملية اللعب بهدف الرهان بين متنافسين على مال يجمع منهم جميعاً ثم يمنح للفائز ويحرم الخاسر ,إدمان القمار سبب له الإفلاس,
431990,"jest, joke, jocularity",activity characterized by good humor,,لُعْبَة,أداة للتسلية واللهو,تفيد لعبة الشطرنج في تنمية العقل والمهارات لدى الطفل,
432492,"interest, pursuit, pastime",a diversion that occupies one's time and thoughts (usually pleasantly),sailing is her favorite pastime; his main pastime is gambling; he counts reading among his interests; they criticized the boy for his limited pursuits, فُكَاهَة,مايقال أو يفعل بهدف مداعبة و إضحاك الآخرين,إن روح الفكاهة عند المدرس تؤثر كثيراً في نوعية التلقّي لدى التلاميذ,
434398,contact sport,a sport that necessarily involves body contact between opposing players,,اِهْتِمَام,نشاط يشغل وقت شخص ما وأفكاره ويجلب له السعادة,كان اهتمامه بكرة القدم مبكراً منذ طفولته,
434742,"gymnastics, gymanstic exercise",a sport that involves exercises intended to display strength and balance and agility,,رياضة احتكاكية,رياضة تتطلب تماس جسدي بين اللاعبين المتنافسين,كرة القدم رياضة احتكاكية يتأذى منها البعض أحياناً,
439983,"split, stock split, split up",an increase in the number of outstanding shares of a corporation without changing the shareholders' equity,they announced a two-for-one split of the common stock,جُمْبَاز,رياضة تتضمن تمارين تهدف إلى إظهار القوة والتوازن وخفة الحركة,يجب البدء بتعلم الجمباز في عمر مبكر جداً كي يكتسب الجسم الليونة المطلوبة,
442764,"water sport, aquatics",sports that involve bodies of water,,تجزئة الأسهم,"عملية يقرها مجلس إدارة الشركة لزيادة عدد الأسهم القائمة من خلال إصدار أسهم جديدة للمساهمين، وتتضمن التجزئة تقسيم كل سهم إلى عدة أسهم دون تغيير حقوق المساهمين.",مثال: من مزايا تجزئة الأسهم انخفاض سعر السهم والقدرة على تحمل التكاليف بالنسبة لصغار المستثمرين,
443055,"swimming, swim",the act of swimming,it was the swimming they enjoyed most; they took a short swim in the pool,رِيَاضَة مَائِيَّة,ألعاب رياضية تمارس حصراً في الماء,يعتبر ركوب الأمواج من أشهر الرياضات المائية التي تتم ممارستها في البحار والمحيطات,
443377,bathe,the act of swimming,the Englishman said he had a good bathe, سِبَاحَة,حركة الكائنات الحية في الماء بواسطة العوم,من أهم فوائد السباحة تنشيط القلب وتقوية العضلات,
446336,"rowing, row",the act of rowing as a sport,,استحمام,قضاء وقت في بحر أو بحيرة أو نهر أو حوض سباحة للمتعة ,حذرت الشرطة السكان من الاستحمام في ماء النهر الملوث,
446787,"fisticuffs, pugilism, boxing",fighting with the fists,,تَجْذِيف,عملية دفع القارب بالمجاديف حيث يقوم الشخص بمسك مجاديف القارب وتحريكها للأمام والخلف لدفع القارب في نهر أو أي مجرى مائي.,أتمنى أن أحظى بتجربة التجديف في مدينة البندقية يوماً ما,
447478,fight,a boxing or wrestling match,the fight was on television last night,مُلاكَمَة,رياضة قتالية بين اثنين من المتنافسين يتبادلان الضربات بقبضات أيديهم,يمكن أن تسبب الملاكمة أحياناً إصابات عصبية حادة واعتلالات دماغية,
456623,game,a contest with rules to determine a winner,you need four people to play this game,مباراة مصارعة,رياضة قتالية تنطوي على استخدام عدد من التقنيات كالدفع والضرب والتثبيت وغيرها,قد تتسبب مشاهدة الأطفال لعروض المصارعة بتحريضهم على العنف,
458406,"turn, play",(game) the activity of doing something in an agreed succession,it is my turn; it is still my play, مُبَارَاة,منافسة تحكمها قواعد لتحديد الفائز,انتهت المباراة بالتعادل بلا أهداف,
464307,athletic game,a game involving athletic activity,,دَوْر,(في لعبة) قيام الأشخاص بنشاط ما بالاتفاق على أن يكون واحداً تلو الآخر ,إنه دوري في رمي كرة البولينغ,
465719,outdoor game,an athletic game that is played outdoors,,لُعْبَة رِيَاضِيَّة,لعبة تتضمن نشاطاً رياضياً,تعد لعبة التنس من أشهر الألعاب الرياضية في العالم,
468787,field game,an outdoor game played on a field of specified dimensions,,لُعْبَة فِي الفَضَاء الطَلْق,لعبة رياضية تمارس في الطبيعة,سباق الدراجات لعبة شهيرة تمارس في الفضاء الطلق,
469555,"football, football game",any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal,,لُعْبَة مَيْدَانِيَّة,لعبة تمارس في الهواء الطلق في حقل أو ملعب ذي أبعاد محددة,تعد الهوكي لعبة ميدانية قديمة نشأت في انجلترا,
489236,"cards, card game",a game played with playing cards,, لُعْبَة كُرَة القَدَم,أي من الألعاب المختلفة التي تلعب بكرة (دائرية أو بيضوية) يتنافس فيها فريقان ويحاول كل فريق ركل أو نقل أو دفع الكرة داخل مرمى الخصم ,"من أنواع ألعاب كرة القدم: كرة المباريات الكبرى المعروفة، كرة القدم الأمريكية وكرة الصالات الخ",
495779,"poker game, poker",any of various card games in which players bet that they hold the highest-ranking hand,,لُعْبَة الوَرَق,ألعاب تُلعَب باستخدام أوراق اللعب المصنوعة من الورق المقوى ويتنافس فيها شخصان أو أكثر,"من أمثلة ألعاب الورق: الشدة، أونو، كونكان والجواكر",
502733,"parlor game, parlour game",a game suitable for playing in a parlor,,بُوكر,لعبة ورق يراهن فيها اللاعب على أن قيمة الأوراق التي في يده أكبر من قيمة أوراق اللاعبين الآخرين.,إدمان البوكر قد يسبب مشاكل واضطرابات نفسية ومالية كبيرة للشخص,
503426,board game,a game played on a specially designed board,,لُعْبَة صَالُون,ألعاب تتم داخلياً في نطاق ضيق كغرفة أو صالة ولا تتطلب جهداً جسدياً كبيراً.,"من أمثلة ألعاب الصالون: ألعاب الكلمات والحزازير، الكراسي الموسيقية، ورق اللعب ومسابقات الأطفال الخفيفة",
503963,"checkers, draughts",a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces,,لعبة لوحية,"لعبة تتكون من قطع تُحرك على لوح خاص بها، ولكل لعبة قواعدها الخاصة.","من أمثلة الألعاب اللوحية: الشطرنج، مونوبولي وألعاب النرد",
504248,"chess, chess game",a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king,,"دَامَا, لُعْبَة الدَامَا","لعبة لوحية تلعب بين شخصين فقط على لوحة تحمل مربعات ، يمتلك كل منهما 12 قطعة على شكل أقراص،  يفوز اللاعب حين يتمكن من أخذ جميع قطع خصمه أو جعله غير قادر على الحركة",تعتبر الداما البولندية الأكثر تطوراً لاحتوائها على اللوح ذي المئة مربع ,
507669,"bet, wager",the act of gambling,he did it on a bet,لُعْبَة الشِّطْرَنْج,"لعبة لوحية يلعبها شخصان بستة عشر قطعة لكل لاعب، تتحرك هذه القطع وفق حركات معينة والهدف من اللعبة هو تهديد ملك الخصم ومحاصرته ويمكن أن تنتهي بالتعادل.",تعزز لعبة الشطرنح مستويات الذكاء لدى الأطفال,
512828,"frolic, gambol, caper, romp, play",gay or light-hearted recreational activity for diversion or amusement,it was all done in play; their frolic in the surf threatened to become ugly,قمار,لعبة تعتمد على المراهنة والحظ حيث يجمع المال من اللاعبين ويعطى للفائز منهم دون الباقي,إدمان القمار يمكن أن يكبّد الشخص الخسائر ويستنزف المدخرات,
513533,"flirt, flirting, flirtation, coquetry, toying, dalliance",playful behavior intended to arouse sexual interest,, مَرَح,أي نشاط خفيف يروّح عن النفس و يبعث على السعادة والتسلية ,التنزه في الخارج يجلب المرح,
516425,"beguilement, distraction",an entertainment that provokes pleased interest and distracts you from worries and vexations,, مُدَاعَبَة,فعل يهدف إلى إثارة الرغبة الجنسية كمقدمة للعلاقة الحميمة بين الشريكين,تعزز المداعبة الجانب العاطفي لدى الشريكين,
517142,"celebration, solemnization, solemnisation",the public performance of a sacrament or solemn ceremony with all appropriate ritual,the celebration of marriage,إِغْوَاء,جذب شخص ما بإثارة المتعة لديه وإلهائه أو تشويشه عن مخاوفه ومايثير قلقه ,يستخدم الرجل اللعوب الإغواء بالكلام كي يستغل مشاعر المرأة,
518784,"festival, fete",an organized series of acts and performances (usually in one place),a drama festival,احتفال عام,الاحتفاء العام بمناسبة دينية أو مقدسة مع ما يصبحه من طقوس مناسبة,أقيمت جميع مراسم الزواج في احتفال عام,
521313,show,the act of publicly exhibiting or entertaining,a remarkable show of skill,مَهْرَجَان,"احتفال عظيم حاشد ، يقام على شكل فقرات منظمة ، ابتهاجاً وفرحاً بمناسبة سعيدة أو إحياءً لذكرى ما (عادةً في مكان محدد)",يقام مهرجان البندقية السينمائي كل عام,
522265,"showing, display, exhibit",something shown to the public,the museum had many exhibits of oriental art,عَرْض,أداء مسرحي أو تلفزيوني أو إذاعي يهدف للتسلية ,استمر العرض الترفيهي لمدة ساعتين لم يتوقف فيها الأطفال عن الضحك ,
522618,"presentment, presentation, demonstration",a show or display; the act of presenting something to sight or view,the presentation of new data; he gave the customer a demonstration,عَرْض,نشاط يهدف لتقديم وإظهار شيء ما للعامة,نال عرض الأزياء المميز إعجاب الجمهور,
524569,"sport, athletics",an active diversion requiring physical exertion and competition,,عرض تقديمي,حديث عام موجه لمجموعة بهدف إعطاء معلومات عن شيء ما,من المهم أن يكون تصميم العرض التقديمي جذاباً للحضور,
534959,"dance step, step",a sequence of foot movements that make up a particular dance,he taught them the waltz step,ألعاب القوى,"مجموعة من الألعاب الرياضية التي يتم التنظيم فيها لمسابقات من جميع أنحاء العالم، تنقسم بشكل رئيسي إلى العدو والرمي والقفز ،و تتطلب جهداً بدنياً ",يتغلب الرجال على النساء عموماً في ألعاب القوى,
544270,music,musical activity (singing or whistling etc.),his music was his central interest,خُطْوَة رَاقِصَة,تأدية حركات معينة بجزء أو أكثر من الجسم لتشكيل نمط معين من الرقص   ,لكل نوع من أنواع الرقص نمط محدد من الخطوات الراقصة,
549363,"acting, playacting, playing, performing",the performance of a part or role in a drama,,مُوسِيقى,فن يعبر به الإنسان عن مشاعره بإصدار أصوات عذبة كالغناء والعزف ,الموسيقى لغة التعبير العالمية,
549839,"characterization, personation, enactment, portrayal",acting the part of a character on stage; dramatically representing the character by speech and action and gesture,,تَمْثِيْل,أداء أو تجسيد شخصية أو دور في الدراما,كان تمثيله مبدعاً في جميع الأفلام التي شارك بها,
550321,"impersonation, personation",imitating the mannerisms of another person,, تَجْسِيد,"التمثيل الفني لشخصية ما وإظهارها بصورة تبدو حقيقية عن طريق الحوار والأفعال والإيماءات ،بحيث لا نستطيع التمييز بين الممثل والشخصية",قام تشارلي شابلن بتجسيد شخصية هتلر بطريقة ساخرة,
550509,"apery, mimicry",the act of mimicking; imitative behavior,,تَمْثِيل شَخْصِيَّة,تقمص شخصية ما بتقليد سلوكياتها وحركاتها بحيث يصبح الشخص نسخة عنها,كثير من الممثلين قاموا بتمثيل شخصيات مشهورة في العالم,
550647,"takeoff, parody, mockery",humorous or satirical mimicry,,"مُحَاكَاة, تَقْلِيد",سلوك يتمثل في مراقبة وتكرار سلوك أو أقوال شخص آخر ,  تستخدم المحاكاة في التعليم لتقريب الطلاب من الواقع قدر الإمكان . يعمد الأطفال إلى ارتداء ملابس أبائهم وتقليد أقوالهم,
551378,"stage business, business, byplay",incidental activity performed by an actor for dramatic effect,his business with the cane was hilarious,مُحَاكَاة سَاخِرَة,عمل فني يتمثل بتقليد أحد المؤلفين أو الشخصيات البارزة بطريقة فكاهية ساخرة,قدم بيلجارد محاكاة ساخرة لشخصية الملكة مارغريت,
551808,performance,the act of presenting a play or a piece of music or other entertainment,we congratulated him on his performance at the rehearsal; an inspired performance of Mozart's C minor concerto,دَوْر,جزء من عمل دارمي أو فني يقوم الممثل بتجسيد الشخصية من خلاله,لعب الممثل الأمريكي أنطوني كوين دور زوربا في الفيلم الشهير(زوربا الإغريقي),
552252,"programme, program",a performance (or series of performances) at a public presentation,the program lasted more than two hours,أَداء,عماية تقديم عمل فني ما كعرض مسرحية أو تمثيل دور أو عزف قطعة موسيقية ,كان أداؤه للدور في الفيلم الأخير متقناً,
552444,bill,the entertainment offered at a public presentation,,بَرْنَامَج,مادة تلفزيونية أو إذاعية تُبث مسجلة أو حية على الهواء لها اتجاه معين لجمهور محدد من الناس .,تُعرض برامج الأطفال في التاسعة صباحاً,
553473,"liveliness, animation",general activity and motion,,تَرْفِيه,الترفيه المقدم في عرض تقديمي عام,الكوميديا الارتجالية هي أحد أنواع الترفيه الحي أمام الجمهور,
554860,"din, commotion, ruckus, tumult, ruction, rumpus",the act of making a noisy disturbance,,حَيَوِيَّة,"مقدرة الحي على تأدية وظيفته، ويراد بها النشاط والعافية",ممارسة المشي الصباحي يمنحك النشاط والحيوية طوال اليوم,
556685,"hurry, rush, rushing, haste",the act of moving hurriedly and in a careless manner,in his haste to leave he forgot his book, ضَجِيْج,الأصوات المرتفعة المزعجة غير المرغوب فيها,لم نستطع النوم ليلة البارحة بسبب الضجيج الصادر من الجيران,
557350,"maneuver, manoeuvre, play",a deliberate coordinated movement requiring dexterity and skill,he made a great maneuver; the runner was out on a play by the shortstop,عَجَلَة,الحركة  بسرعة دون تروٍّ أو انتباه,غادر المكان على عجل ولم يودع أحداً,
558625,play,a preset plan of action in team sports,the coach drew up the plays for her team,مُنَاوَرَة,عمل محسوب لإحباط خصم أو اكتساب ميزة بطريقة غير مباشرة أو مخادعة تتطلب المهارة والذكاء,إنه ماهر بالمناورات السياسية,
563317,obstruction,getting in someone's way,,خُطَّة لَعِب,الخطة الراهنة المتبعة في إحدى الرياضات الجماعية,يجب تدريب اللاعبين بشكل جيد على خطط اللعب التي يضعها المدربون,
566339,"stroke, shot",(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand,it took two strokes to get out of the bunker; a good shot require good balance and tempo; he left me an almost impossible shot, عَرْقَلَة,اعتراض طريق شخص ما والحؤول بينه وبين مايريد,كانت الشروط القانونية السبب في عرقلة مشروعه الخاص,
576778,work,activity directed toward making or doing something,she checked several points needing further work,ضرْبَة,إطلاق الكرة ضد الفريق الخصم باليد أو المضرب ,حسمت الضربة الأخيرة نتيجة المباراة,
578105,"procedure, operation",a process or series of acts especially of a practical or mechanical nature involved in a particular form of work,the operations in building a house; certain machine tool operations, عَمَل,نشاط يتضمن جهد عقلي أو جسدي لإنجاز غاية ما,يلحق العمل المرهق أضراراً كبيرة بالصحة,
578562,service,work done by one person or group that benefits another,budget separately for goods and services, عَمَلِيَّة,إجراء أو سلسلة من الأفعال ذات الطابع العملي أو الميكانيكي لإنجاز مهمة ما أو خطة  ,تعتبر عملية بسترة الحليب هامة جداً للقضاء على البكتريا,
583425,"job, line, occupation, business, line of work",the principal activity in your life that you do to earn money,he's not in my line of business,خِدْمَة,تقديم مساعدة أو فائدة لصالح شخص آخر أو لعموم الناس,تتضمن خدمة العملاء فهم احتياجاتهم ومعالجة مشكلاتهم,
584784,"specialisation, specialization",the act of specializing; making something suitable for a special purpose,, مِهْنَة,العمل الأساسي الذي يقوم به الإنسان بشكل رئيسي لكسب العيش,تحتاج مهنة التدريس إلى الكثير من الصبر والتحمل ,
585404,"employment, work",the occupation for which you are paid,he is looking for employment; a lot of people are out of work,تَخَصُّص,انفراد شخص أو مجموعة من الناس بالقيام بشيء معين,يعتبر تخصص الموارد البشرية من أهم الاختصاصات التي تُدرس في الجامعات حالياً,
585928,service,employment in or work for another,he retired after 30 years of service,وَظِيفَة,العمل الرسمي الذي تتقاضى عليه أجراً,يعمل في وظيفة معاون مدير الشركة,
587299,"spot, place, billet, post, office, position, berth, situation",a job in an organization,he occupied a post in the treasury,خِدْمُة,تقديم مساعدة أو توفير عناية لجهة محددة أو لعامة الناس,من أساسيات خدمة العملاء الإجابة على استفساراتهم بدقة وسرعة,
600587,secretaryship,the position of secretary,, مَنْصِب,العمل الذي يتولاه شخص ما في منظمة أو شركة,منصب المدير. منصب الوزير. منصب رئيس مجلس الإدارة,
